plant_name_raw|capacity_mw_raw|fuel_raw|owner_raw|commissioning_raw
Bheramara 360 MW CCPP (ST unit)|132|Gas/HSD|NWPGCL|1 January, 2018
Barapukuria 275 MW (3rd Unit)|274|Coal|BPDB|1 January, 2018
Ghorashal 365 MW CCPP|365|Gas|BPDB|05 February, 2018
Sirajganj 225 MW CCPP (2nd Unit)|220|Gas/HSD|NWPGCL|05 February, 2018
Siddhirganj 335 MW CCPP|217|Gas|EGCB|GT: 30 April, 2018
Sirajganj 225 MW CCPP (3rd Unit)|141|Gas/HSD|NWPGCL|GT: 9 August, 2018
Bramhongaon, Keraniganj 100 MW PP|100|HSD|IPP|30 May, 2018
Mymensingh 200 MW PP|200|HFO|IPP|16 June, 2018
Aowrahati, Keranigonj 100 MW (Aggreko)|100|HSD|IPP|29 June, 2018
Kadda 149 MW PP|149|HFO|IPP|12 July, 2018
Pangaon, keraniganj 300 MW PP (fast track)|300|HSD|IPP|10 August, 2018
Power import (2nd HVDC)|500|Import|Import|10 September, 2018
Teknaf, Coxsbazar 20 MW solar park|20|Solar|IPP|15 September, 2018
Sirajganj 400±10 MW CCPP|282|Gas/HSD|IPP|GT: 04 October, 2018
Rupsa, Khulna 105 MW PP|105|HFO|IPP|14 October, 2018
Chandpur 200 MW PP|200|HFO|IPP|09 November, 2018
Julda, CTG 100 MW PP (Unit-3)|100|HFO|IPP|09 November, 2018
Ashuganj 150 MW PP (Midland)|150|HFO|IPP|27 November, 2018
Baghabari 200 MW PP|200|HSD|IPP|16 February, 2019
Jamalpur 115 MW Power Plant|115|HFO|IPP|19 February, 2019
Sirajgonj 225 MW CCPP (3rd Unit) (ST Unit)|79|Gas/HSD|NWPGCL|20 January, 2019
Bibiana #3 CCPP|400|Gas|BPDB|GT: 06 February, 2019; ST: 24 September, 2019
Modumoti, Bagerhat 100 MW PP|105|HFO|NWPGCL|15 April, 2019
Gazipur 100 MW PP|105|HFO|RPCL|25 May, 2019
Kaptai Solar Power Plant|7|Solar|BPDB|28 May, 2019
Siddirganj 335 MW CCPP ST Unit|118|Gas|EGCB|ST: 9 September, 2019
Julda, Chattogram 100 MW PP (Accorn Inf) (Unit-2)|100|HFO|IPP|20 March, 2020
Meghnaghat 104 MW Power Plant|104|HFO|IPP|30 June, 2020
Sylhet 150 MW PP Conversion|87|Gas|BPDB|14 March, 2020
Payra, Potuakhali 1320 Coal Fired Power Plant (1st Unit)|622|Imported Coal|BCPCL (NWPGCL)|15 May, 2020
