producer_key,producer,purchase_class,fy,kwh,bdt,audited_column,source_doc
adani power ltd (jharkhand),Adani Power Limited (Jharkhand),india,FY2023-24,8166677622.0,121469628545.0,Y,BPDC 2023-24.pdf
adani power ltd (jharkhand),Adani Power Limited (Jharkhand),india,FY2024-25,8031930869.0,119334360562.0,Y,BPDB 2024-25.pdf
aggreko energy solution ltd - aorahati (100mw),Aggreko Energy Solution Ltd. - Aorahati (100MW),ipp,FY2019-20,6040888.0,1881430202.0,,BPDB 2020-21.pdf
aggreko energy solution ltd - aorahati (100mw),Aggreko Energy Solution Ltd. - Aorahati (100MW),ipp,FY2020-21,37076045.0,2377751737.0,Y,BPDB 2020-21.pdf
aggreko energy solution ltd - aorahati (100mw),Aggreko Energy Solution Ltd. - Aorahati (100MW),ipp,FY2021-22,131526563.0,4417000846.0,,BPDB 2022-23.pdf
aggreko energy solution ltd - aorahati (100mw),Aggreko Energy Solution Ltd. - Aorahati (100MW),ipp,FY2022-23,167533969.0,6836163416.0,Y,BPDB 2022-23.pdf
aggreko energy solution ltd - aorahati (100mw),Aggreko Energy Solution Ltd. - Aorahati (100MW),ipp,FY2023-24,0.0,1725.0,Y,BPDC 2023-24.pdf
aggreko energy solution ltd - aorahati (100mw),Aggreko Energy Solution Ltd. - Aorahati (100MW),ipp,FY2024-25,0.0,505341.0,Y,BPDB 2024-25.pdf
aggreko energy solution ltd - bhahmangoan (100mw),Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),ipp,FY2019-20,4676090.0,1844846730.0,,BPDB 2020-21.pdf
aggreko energy solution ltd - bhahmangoan (100mw),Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),ipp,FY2020-21,28478637.0,2164581074.0,Y,BPDB 2020-21.pdf
aggreko energy solution ltd - bhahmangoan (100mw),Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),ipp,FY2021-22,120485001.0,4245841612.0,,BPDB 2022-23.pdf
aggreko energy solution ltd - bhahmangoan (100mw),Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),ipp,FY2022-23,146037206.0,5977709811.0,Y,BPDB 2022-23.pdf
aggreko energy solution ltd - bhahmangoan (100mw),Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),ipp,FY2023-24,0.0,0.0,Y,BPDC 2023-24.pdf
aggreko energy solution ltd - bhahmangoan (100mw),Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),ipp,FY2024-25,0.0,16783046.0,Y,BPDB 2024-25.pdf
aggreko energy solution ltd - bhola (95mw) - -,Aggreko Energy Solution Ltd - Bhola (95MW) - -,ipp,FY2019-20,0.0,0.0,,BPDB 2020-21.pdf
aggreko energy solution ltd - bhola (95mw) - -,Aggreko Energy Solution Ltd - Bhola (95MW) - -,ipp,FY2020-21,0.0,0.0,Y,BPDB 2020-21.pdf
aggreko international ltd.-bhola (95 mw),AGGREKO INTERNATIONAL LTD.-BHOLA (95 MW),rental,FY2019-20,445528501.0,2207102989.0,,BPDB 2020-21.pdf
aggreko international ltd.-bhola (95 mw),AGGREKO INTERNATIONAL LTD.-BHOLA (95 MW),rental,FY2020-21,559103805.0,2310334606.0,Y,BPDB 2020-21.pdf
amnura(sinha power generation),Amnura(Sinha Power Generation),rental,FY2021-22,20839351.0,274117988.0,,BPDB 2022-23.pdf
