fy,plant_name,sector,zone,fuel,fuel_raw,capacity_mw,generation_gwh,plant_factor,remark,retired,source_doc
FY2024-25,Ghorashal Repowered CCPP Unit-4,PUBLIC,DHAKA ZONE,gas,Gas,210.0,166.0,0.0902,,,BPDB 2024-25.pdf
FY2024-25,Ghorashal 365 MW CCPP Unit-7,PUBLIC,DHAKA ZONE,gas,Gas,365.0,78.1,0.0244,,,BPDB 2024-25.pdf
FY2024-25,Tongi 80 MW GTPP,PUBLIC,DHAKA ZONE,gas,Gas,105.0,-0.09,,Under Maintenance,,BPDB 2024-25.pdf
FY2024-25,210 MW Siddhirganj TPP,PUBLIC,DHAKA ZONE,gas,Gas,210.0,-1.0,,Under Overhauling,,BPDB 2024-25.pdf
FY2024-25,Siddhirganj 2x120 MW GTPP,PUBLIC,DHAKA ZONE,gas,Gas,210.0,106.0,0.0576,,,BPDB 2024-25.pdf
FY2024-25,Haripur 412 MW CCPP,PUBLIC,DHAKA ZONE,gas,Gas,412.0,3155.0,0.8742,,,BPDB 2024-25.pdf
FY2024-25,Siddhirganj 335 MW CCPP,PUBLIC,DHAKA ZONE,gas,Gas,335.0,2227.0,0.7589,,,BPDB 2024-25.pdf
FY2024-25,Gazipur 52 MW PP,PUBLIC,DHAKA ZONE,hfo,F.oil,52.0,101.0,0.2217,,,BPDB 2024-25.pdf
FY2024-25,Gazipur 100 MW PP,PUBLIC,DHAKA ZONE,hfo,F.oil,105.0,280.0,0.3044,,,BPDB 2024-25.pdf
FY2024-25,Sreepur 163 MW PP,PUBLIC,DHAKA ZONE,hfo,F.oil,160.0,239.0,0.1705,,,BPDB 2024-25.pdf
FY2024-25,Kodda 150 MW PP,PUBLIC,DHAKA ZONE,hfo,F.oil,149.0,452.0,0.3463,,,BPDB 2024-25.pdf
FY2024-25,Karnafuli Hydro,PUBLIC,CHATTOGRAM ZONE,hydro,Hydro,230.0,957.0,0.475,,,BPDB 2024-25.pdf
FY2024-25,Shikalbaha 150 MW Peaking PP,PUBLIC,CHATTOGRAM ZONE,gas,Gas,150.0,-1.0,,Under Maintenance,,BPDB 2024-25.pdf
FY2024-25,Shikalbaha 225 MW PS D/F,PUBLIC,CHATTOGRAM ZONE,gas,Gas,225.0,1500.0,0.761,,,BPDB 2024-25.pdf
FY2024-25,Hathazari 100 MW Peaking PP,PUBLIC,CHATTOGRAM ZONE,hfo,F.oil,98.0,160.0,0.1864,,,BPDB 2024-25.pdf
FY2024-25,"Sangu, Dohazari-kaliaish 100 MW PPP",PUBLIC,CHATTOGRAM ZONE,hfo,F.oil,102.0,167.0,0.1869,,,BPDB 2024-25.pdf
FY2024-25,RPCL Raozan 25 MW,PUBLIC,CHATTOGRAM ZONE,hfo,F.oil,25.0,28.0,0.1279,,,BPDB 2024-25.pdf
FY2024-25,Mirsarai 150MW Ecconomic Zone,PUBLIC,CHATTOGRAM ZONE,hfo,F.oil,163.0,129.0,0.0903,,,BPDB 2024-25.pdf
FY2024-25,Matarbari 2*600 MW U-1 PS,PUBLIC,CHATTOGRAM ZONE,coal_imported,Imported Coal,1150.0,3684.0,0.3657,,,BPDB 2024-25.pdf
FY2024-25,Kaptai Solar,PUBLIC,CHATTOGRAM ZONE,solar,Solar,6.0,8.0,0.1522,,,BPDB 2024-25.pdf
FY2024-25,Ashuganj 50 MW PP,PUBLIC,CUMILLA ZONE,gas,Gas,53.0,279.0,0.6009,,,BPDB 2024-25.pdf
FY2024-25,Ashuganj 225 MW CCPP,PUBLIC,CUMILLA ZONE,gas,Gas,221.0,1667.0,0.8611,,,BPDB 2024-25.pdf
FY2024-25,Ashuganj 450 MW CCPP (South),PUBLIC,CUMILLA ZONE,gas,Gas,360.0,1335.0,0.4233,,,BPDB 2024-25.pdf
FY2024-25,Ashuganj 450 MW CCPP (North),PUBLIC,CUMILLA ZONE,gas,Gas,360.0,2097.0,0.665,,,BPDB 2024-25.pdf
FY2024-25,Ashuganj 450 MW CCPP (East),PUBLIC,CUMILLA ZONE,gas,Gas,400.0,907.0,0.2588,,,BPDB 2024-25.pdf
FY2024-25,Chandpur 150 MW CCPP,PUBLIC,CUMILLA ZONE,gas,Gas,163.0,353.0,0.2472,,,BPDB 2024-25.pdf
FY2024-25,Titas 50 MW Peaking PP,PUBLIC,CUMILLA ZONE,hfo,F.oil,52.0,127.0,0.2788,,,BPDB 2024-25.pdf
FY2024-25,Sonagazi 75 MW Solar Power Plant,PUBLIC,CUMILLA ZONE,solar,Solar,75.0,136.0,0.207,,,BPDB 2024-25.pdf
FY2024-25,"Shahjibazar 70 MW GT, Habiganj",PUBLIC,SYLHET ZONE,gas,Gas,70.0,276.0,0.4501,,,BPDB 2024-25.pdf
FY2024-25,Shahjibazar 330 MW CCPP,PUBLIC,SYLHET ZONE,gas,Gas,330.0,-2.0,,Under Maintenance,,BPDB 2024-25.pdf
FY2024-25,Fenchuganj C.C. (Unit #1),PUBLIC,SYLHET ZONE,gas,Gas,97.0,238.0,0.2801,,,BPDB 2024-25.pdf
FY2024-25,Fenchuganj C.C. (Unit #2),PUBLIC,SYLHET ZONE,gas,Gas,104.0,171.0,0.1877,,,BPDB 2024-25.pdf
FY2024-25,Sylhet 1x20 MW /GT,PUBLIC,SYLHET ZONE,gas,Gas,20.0,57.0,0.3253,,,BPDB 2024-25.pdf
FY2024-25,Sylhet 225 MW CCPP,PUBLIC,SYLHET ZONE,gas,Gas,231.0,1219.0,0.6024,,,BPDB 2024-25.pdf
FY2024-25,Bibiana III 400 MW CCPP,PUBLIC,SYLHET ZONE,gas,Gas,400.0,2699.0,0.7703,,,BPDB 2024-25.pdf
FY2024-25,Shahazibazar 100 MW GT,PUBLIC,SYLHET ZONE,gas,Gas,100.0,-2.0,,Under Maintenance,,BPDB 2024-25.pdf
FY2024-25,Bibiyana - South 383 MW CCPP,PUBLIC,SYLHET ZONE,gas,Gas,383.0,2474.0,0.7374,,,BPDB 2024-25.pdf
FY2024-25,Rural Power Company Ltd. (RPCL),PUBLIC,MYMENSINGH ZONE,gas,GAS,210.0,243.0,0.1321,,,BPDB 2024-25.pdf
FY2024-25,Khhulna 330 MW CCPP,PUBLIC,KHULNA ZONE,hsd,HSD,336.0,-7.0,,,,BPDB 2024-25.pdf
FY2024-25,Faridpur 50 MW Peaking PP,PUBLIC,KHULNA ZONE,hfo,F.oil,54.0,25.0,0.0528,,,BPDB 2024-25.pdf
FY2024-25,Gopalganj 100 MW Peaking PP,PUBLIC,KHULNA ZONE,hfo,F.oil,109.0,30.0,0.0314,,,BPDB 2024-25.pdf
FY2024-25,Bheramara 360 MW CCPP (NWPGCL),PUBLIC,KHULNA ZONE,gas,Gas,410.0,1743.0,0.4853,,,BPDB 2024-25.pdf
FY2024-25,Khulna 225 MW D/F CCPP (NWPGCL),PUBLIC,KHULNA ZONE,hsd,HSD,230.0,-3.0,,,,BPDB 2024-25.pdf
FY2024-25,Modhumoti 105 MW NWPGCL,PUBLIC,KHULNA ZONE,hfo,F.oil,105.0,10.0,0.0109,,,BPDB 2024-25.pdf
FY2024-25,Bhola 225 MW CCPP,PUBLIC,BARISHAL ZONE,gas,Gas,194.0,888.0,0.5225,,,BPDB 2024-25.pdf
FY2024-25,Barisal 1 MW Solar PP,PUBLIC,BARISHAL ZONE,solar,Solar,1.0,1.15,0.1313,,,BPDB 2024-25.pdf
FY2024-25,Baghabari 50 MW Peaking RE,PUBLIC,RAJSHAHI ZONE,hfo,F.oil,52.0,63.0,0.1383,,,BPDB 2024-25.pdf
FY2024-25,Bera 70 MW Peaking RE,PUBLIC,RAJSHAHI ZONE,hfo,F.oil,71.0,15.0,0.0241,,,BPDB 2024-25.pdf
FY2024-25,Santahar 50 MW PP,PUBLIC,RAJSHAHI ZONE,hfo,F.oil,50.0,45.0,0.1027,,,BPDB 2024-25.pdf
FY2024-25,Katakhali 50 MW PP,PUBLIC,RAJSHAHI ZONE,hfo,F.oil,50.0,48.0,0.1096,,,BPDB 2024-25.pdf
FY2024-25,"Chapainawabganj 100 MW Power Station, Amnura",PUBLIC,RAJSHAHI ZONE,hfo,F.oil,104.0,140.0,0.1537,,,BPDB 2024-25.pdf
FY2024-25,Sirajgonj 210 MW D/F CC (NWPGCL) Unit-1,PUBLIC,RAJSHAHI ZONE,gas,Gas,210.0,1305.0,0.7094,,,BPDB 2024-25.pdf
FY2024-25,Sirajgonj 210 MW D/F CC (NWPGCL) Unit-2,PUBLIC,RAJSHAHI ZONE,gas,Gas,220.0,705.0,0.3658,,,BPDB 2024-25.pdf
FY2024-25,Sirajgonj 210 MW D/F CC (NWPGCL) Unit-3,PUBLIC,RAJSHAHI ZONE,gas,Gas,220.0,649.0,0.3368,,,BPDB 2024-25.pdf
FY2024-25,Sirajgonj 2 MW Wind Plant,PUBLIC,RAJSHAHI ZONE,wind,Wind,2.0,0.0,,,,BPDB 2024-25.pdf
FY2024-25,Sirajgonj 7.6 MW Solar Power Plant,PUBLIC,RAJSHAHI ZONE,solar,Solar,6.0,9.0,0.1712,,,BPDB 2024-25.pdf
FY2024-25,Saidpur 20 MW /GT,PUBLIC,RANGPUR ZONE,hsd,HSD,20.0,-0.13,,,,BPDB 2024-25.pdf
FY2024-25,Rangpur 20 MW /GT,PUBLIC,RANGPUR ZONE,hsd,HSD,20.0,0.26,0.0015,,,BPDB 2024-25.pdf
FY2024-25,BCPCL,JOINT VENTURE,RANGPUR ZONE,coal_imported,Imported Coal,1244.0,7937.0,0.7283,,,BPDB 2024-25.pdf
FY2024-25,BIFPCL,JOINT VENTURE,RANGPUR ZONE,coal_imported,Imported Coal,1234.0,5031.0,0.4654,,,BPDB 2024-25.pdf
FY2024-25,RNPL,JOINT VENTURE,RANGPUR ZONE,coal_imported,Imported Coal,,706.0,,Test Run,,BPDB 2024-25.pdf
FY2024-25,Midland Power Co. Ashuganj 51 MW,IPP,RANGPUR ZONE,gas,GAS,51.0,372.0,0.8327,,,BPDB 2024-25.pdf
FY2024-25,Meghnaghat Power Ltd.,IPP,RANGPUR ZONE,gas,GAS,450.0,3032.0,0.7692,,,BPDB 2024-25.pdf
FY2024-25,Regent Energy & Power Ltd 108 MW,IPP,RANGPUR ZONE,gas,GAS,108.0,24.0,0.0254,,,BPDB 2024-25.pdf
FY2024-25,Ashuganj United Power Co. Ltd.200 MW,IPP,RANGPUR ZONE,gas,GAS,195.0,848.0,0.4964,,,BPDB 2024-25.pdf
FY2024-25,Summit Bibiyana - II Power Co Ltd. 341 MW,IPP,RANGPUR ZONE,gas,GAS,341.0,2371.0,0.7937,,,BPDB 2024-25.pdf
FY2024-25,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,IPP,RANGPUR ZONE,gas,GAS,163.0,1160.0,0.8124,,,BPDB 2024-25.pdf
FY2024-25,Sembcorp NWPGCL,IPP,RANGPUR ZONE,gas,GAS,414.0,2829.0,0.7801,,,BPDB 2024-25.pdf
FY2024-25,Summit Meghnaghat Power Co.Ltd.,IPP,RANGPUR ZONE,gas,GAS,335.0,1321.0,0.4501,,,BPDB 2024-25.pdf
