fy,plant_name,sector,zone,fuel,fuel_raw,capacity_mw,generation_gwh,plant_factor,remark,retired,source_doc
FY2024-25,Nutan Biddyut 220MW Bhola,IPP,RANGPUR ZONE,gas,GAS,220.0,1767.0,0.9169,,,BPDB 2024-25.pdf
FY2024-25,Unique Meghnaghat 584MW CCPP,IPP,RANGPUR ZONE,gas,GAS,584.0,930.0,0.1818,,,BPDB 2024-25.pdf
FY2024-25,Summit Power Meghnaghat-2 583 MW CCPP,IPP,RANGPUR ZONE,gas,GAS,583.0,1070.0,0.2095,,,BPDB 2024-25.pdf
FY2024-25,JERA Meghnaghat 718 MW CCPP,IPP,RANGPUR ZONE,gas,GAS,,226.0,,Test Run,,BPDB 2024-25.pdf
FY2024-25,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,IPP,RANGPUR ZONE,hfo,F.Oil,52.0,17.0,0.0373,,,BPDB 2024-25.pdf
FY2024-25,Digital Power & Associates Gagnagar,IPP,RANGPUR ZONE,hfo,F.Oil,102.0,80.0,0.0895,,,BPDB 2024-25.pdf
FY2024-25,Baraka Patenga,IPP,RANGPUR ZONE,hfo,F.Oil,50.0,70.0,0.1598,,,BPDB 2024-25.pdf
FY2024-25,ECPV Chattogram Limited 108 MW,IPP,RANGPUR ZONE,hfo,F.Oil,108.0,70.0,0.074,,,BPDB 2024-25.pdf
FY2024-25,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,IPP,RANGPUR ZONE,hfo,F.Oil,52.0,126.0,0.2766,,,BPDB 2024-25.pdf
FY2024-25,Summit Barishal (110 MW),IPP,RANGPUR ZONE,hfo,F.Oil,110.0,88.0,0.0913,,,BPDB 2024-25.pdf
FY2024-25,Summit Narayangonj Power unit-2 Madangonj (55 MW),IPP,RANGPUR ZONE,hfo,F.Oil,55.0,127.0,0.2636,,,BPDB 2024-25.pdf
FY2024-25,Dhaka(Doreen) Northern Power Ltd.Manikgonj,IPP,RANGPUR ZONE,hfo,F.Oil,55.0,136.0,0.2823,,,BPDB 2024-25.pdf
FY2024-25,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,IPP,RANGPUR ZONE,hfo,F.Oil,55.0,116.0,0.2408,,,BPDB 2024-25.pdf
FY2024-25,Kamalaghat Banco Energy Generation,IPP,RANGPUR ZONE,hfo,F.Oil,54.0,131.0,0.2769,,,BPDB 2024-25.pdf
FY2024-25,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),IPP,RANGPUR ZONE,hfo,F.Oil,300.0,496.0,0.1887,,,BPDB 2024-25.pdf
FY2024-25,United Mymensing Power(UMPL) 200MW Generation,IPP,RANGPUR ZONE,hfo,F.Oil,200.0,738.0,0.4212,,,BPDB 2024-25.pdf
FY2024-25,Kodda Gazipur 149MW Power Ltd.(unit-1 Summit) ACE Alliance,IPP,RANGPUR ZONE,hfo,F.Oil,149.0,565.0,0.4329,,,BPDB 2024-25.pdf
FY2024-25,Lobonchora Orion Power Rupsha Ltd. 105 MW,IPP,RANGPUR ZONE,hfo,F.Oil,105.0,88.0,0.0957,,,BPDB 2024-25.pdf
FY2024-25,Desh Energy Chandpur 200 MW,IPP,RANGPUR ZONE,hfo,F.Oil,200.0,667.0,0.3807,,,BPDB 2024-25.pdf
FY2024-25,Juldha Acorn 100 MW Unit-3,IPP,RANGPUR ZONE,hfo,F.Oil,100.0,284.0,0.3242,,,BPDB 2024-25.pdf
FY2024-25,Ashugonj 150 MW (Midland East),IPP,RANGPUR ZONE,hfo,F.Oil,150.0,302.0,0.2298,,,BPDB 2024-25.pdf
FY2024-25,Chandpur Power Generation Lid. 115MW,IPP,RANGPUR ZONE,hfo,F.Oil,115.0,389.0,0.3861,,,BPDB 2024-25.pdf
FY2024-25,United Jamalpur PPL,IPP,RANGPUR ZONE,hfo,F.Oil,115.0,459.0,0.4556,,,BPDB 2024-25.pdf
FY2024-25,Confidence CPBL- 2 Bogura,IPP,RANGPUR ZONE,hfo,F.Oil,113.0,239.0,0.2414,,,BPDB 2024-25.pdf
FY2024-25,Baraka Shikalbaha 105MW PS,IPP,RANGPUR ZONE,hfo,F.Oil,105.0,191.0,0.2077,,,BPDB 2024-25.pdf
FY2024-25,United Anwara 300MW PS,IPP,RANGPUR ZONE,hfo,F.Oil,300.0,211.0,0.0803,,,BPDB 2024-25.pdf
FY2024-25,Confidence Power Ltd. 113MW Rangpur,IPP,RANGPUR ZONE,hfo,F.Oil,113.0,324.0,0.3273,,,BPDB 2024-25.pdf
FY2024-25,Potia Jodiac Power,IPP,RANGPUR ZONE,hfo,F.Oil,54.0,80.0,0.1691,,,BPDB 2024-25.pdf
FY2024-25,Shikolbaha Karnaphuli Power Ltd.,IPP,RANGPUR ZONE,hfo,F.Oil,110.0,188.0,0.1951,,,BPDB 2024-25.pdf
FY2024-25,Feni Lanka (Lakdanavi) Power 114 MW PP,IPP,RANGPUR ZONE,hfo,F.Oil,114.0,358.0,0.3585,,,BPDB 2024-25.pdf
FY2024-25,Bogra 113 MW PP (Confidence) Unit-1,IPP,RANGPUR ZONE,hfo,F.Oil,113.0,203.0,0.2051,,,BPDB 2024-25.pdf
FY2024-25,HF 113 MW Power Limited,IPP,RANGPUR ZONE,hfo,F.Oil,113.0,221.0,0.2233,,,BPDB 2024-25.pdf
FY2024-25,Julda 100 MW Unit - 2 (Acorn ),IPP,RANGPUR ZONE,hfo,F.Oil,100.0,181.0,0.2066,,,BPDB 2024-25.pdf
FY2024-25,Manikganj 162MW Power Generation,IPP,RANGPUR ZONE,hfo,F.Oil,162.0,412.0,0.2903,,,BPDB 2024-25.pdf
FY2024-25,Orion Power Sonargaon Ltd.,IPP,RANGPUR ZONE,hfo,F.Oil,104.0,133.0,0.146,,,BPDB 2024-25.pdf
FY2024-25,Anlima Chattogram 116 MW,IPP,RANGPUR ZONE,hfo,F.Oil,116.0,136.0,0.1338,,,BPDB 2024-25.pdf
FY2024-25,Tangail Polly Power 22 MW TPPGCl,IPP,RANGPUR ZONE,hfo,F.Oil,22.0,71.0,0.3684,,,BPDB 2024-25.pdf
FY2024-25,Bhairab Power 54.5 MW,IPP,RANGPUR ZONE,hfo,F.Oil,54.0,93.0,0.1966,,,BPDB 2024-25.pdf
FY2024-25,United Payra PP Patuakhali Imp,IPP,RANGPUR ZONE,hfo,F.Oil,150.0,149.0,0.1134,,,BPDB 2024-25.pdf
FY2024-25,Kanchan Purbachol 55 MW Power Generation,IPP,RANGPUR ZONE,hfo,F.Oil,55.0,155.0,0.3217,,,BPDB 2024-25.pdf
FY2024-25,Energypac Thakurgaon,IPP,RANGPUR ZONE,hfo,F.Oil,115.0,346.0,0.3435,,,BPDB 2024-25.pdf
FY2024-25,Desh Energy Hatia 15 MW (Off-grid),IPP,RANGPUR ZONE,hfo,F.Oil,,25.0,,,,BPDB 2024-25.pdf
FY2024-25,Sharishabari 3 MW Engreen Solar Power Plant,IPP,RANGPUR ZONE,solar,Solar,3.0,4.0,0.1522,,,BPDB 2024-25.pdf
FY2024-25,20 MW Solar Teknaf,IPP,RANGPUR ZONE,solar,Solar,20.0,36.0,0.2055,,,BPDB 2024-25.pdf
FY2024-25,Sympa Solar Power 8 MW,IPP,RANGPUR ZONE,solar,Solar,8.0,13.0,0.1855,,,BPDB 2024-25.pdf
FY2024-25,Sutiakhali 50 MW HDFC Solar Power Plant,IPP,RANGPUR ZONE,solar,Solar,50.0,91.0,0.2078,,,BPDB 2024-25.pdf
FY2024-25,ERBL Solar 100 MW Mongla,IPP,RANGPUR ZONE,solar,Solar,100.0,174.0,0.1986,,,BPDB 2024-25.pdf
FY2024-25,Manikganj 35MW Spectra Solar Park Ltd.,IPP,RANGPUR ZONE,solar,Solar,35.0,61.0,0.199,,,BPDB 2024-25.pdf
FY2024-25,Intraco Solar Lalmonoirhat,IPP,RANGPUR ZONE,solar,Solar,30.0,62.0,0.2359,,,BPDB 2024-25.pdf
FY2024-25,Dynamic Sun Pvt. Ltd. 100MW Solar Pabna,IPP,RANGPUR ZONE,solar,Solar,100.0,156.0,0.1781,,,BPDB 2024-25.pdf
FY2024-25,Teesta Solar Ltd 200MW,IPP,RANGPUR ZONE,solar,Solar,200.0,353.0,0.2015,,,BPDB 2024-25.pdf
FY2024-25,Sirajgonj 68 MW Solar PP,IPP,RANGPUR ZONE,solar,Solar,68.0,108.0,0.1813,,,BPDB 2024-25.pdf
FY2024-25,Sailo Solar Power Plant Shantahar (Rooftop),IPP,RANGPUR ZONE,solar,Solar,,0.1,,,,BPDB 2024-25.pdf
FY2024-25,KEPZ Solar (Rooftop),IPP,RANGPUR ZONE,solar,Solar,,9.0,,,,BPDB 2024-25.pdf
FY2024-25,BRB Solar (Rooftop),IPP,RANGPUR ZONE,solar,Solar,,1.0,,,,BPDB 2024-25.pdf
FY2024-25,Akij Jute Mills Ltd. Solar (Rooftop),IPP,RANGPUR ZONE,solar,Solar,,0.0,,,,BPDB 2024-25.pdf
FY2024-25,"US-DK Wind PP 60 MW, Cox's Bazar",IPP,RANGPUR ZONE,wind,Wind,60.0,99.0,0.1884,,,BPDB 2024-25.pdf
FY2024-25,Barishal Coal,IPP,RANGPUR ZONE,coal_imported,Imported Coal,307.0,1863.0,0.6927,,,BPDB 2024-25.pdf
FY2024-25,S.S. Power,IPP,RANGPUR ZONE,coal_imported,Imported Coal,1224.0,6306.0,0.5881,,,BPDB 2024-25.pdf
FY2024-25,Ashugonj 55 MW Rental (Precision Energy),NENP & SIPP,RANGPUR ZONE,gas,GAS,55.0,220.0,0.4566,-,,BPDB 2024-25.pdf
FY2024-25,Sahzibazar 86 MW RPP,NENP & SIPP,RANGPUR ZONE,gas,GAS,86.0,471.0,0.6252,-,,BPDB 2024-25.pdf
FY2024-25,Fenchugonj 51 MW Rental (Barakatullah),NENP & SIPP,RANGPUR ZONE,gas,GAS,,43.0,,Retired on 23/10/2024,Y,BPDB 2024-25.pdf
FY2024-25,Fenchugonj 50 MW Rental (Energy Prima),NENP & SIPP,RANGPUR ZONE,gas,GAS,,107.0,,Retired on 23/03/2025,Y,BPDB 2024-25.pdf
FY2024-25,"Malancha, EPZ, Ctg (Captive)",NENP & SIPP,RANGPUR ZONE,gas,GAS,,185.0,,-,,BPDB 2024-25.pdf
FY2024-25,Bhola 32 MW (Venture Energy Resources Ltd.),NENP & SIPP,RANGPUR ZONE,gas,GAS,40.0,58.0,0.1655,-,,BPDB 2024-25.pdf
FY2024-25,Shahjahanullah Power Gen Co. Ltd.,NENP & SIPP,RANGPUR ZONE,gas,GAS,25.0,89.0,0.4064,-,,BPDB 2024-25.pdf
FY2024-25,KPCL (115 MW) U-2,NENP & SIPP,RANGPUR ZONE,hfo,F.oil,,32.0,,Retired on 18/08/2024,Y,BPDB 2024-25.pdf
FY2024-25,Khanjahan Ali Noapara 40 MW,NENP & SIPP,RANGPUR ZONE,hfo,F.oil,,6.0,,Retired on 18/08/2024,Y,BPDB 2024-25.pdf
FY2024-25,Summit Power Co. Ltd Madangonj (100 MW),NENP & SIPP,RANGPUR ZONE,hfo,F.oil,,39.0,,Retired on 18/08/2024,Y,BPDB 2024-25.pdf
FY2024-25,"IEL, Meghnaghat 100 MW",NENP & SIPP,RANGPUR ZONE,hfo,F.oil,,17.0,,Retired on 18/08/2024,Y,BPDB 2024-25.pdf
FY2024-25,Siddhirganj Dutchbangla 100 MW,NENP & SIPP,RANGPUR ZONE,hfo,F.oil,,16.0,,Retired on 18/08/2024,Y,BPDB 2024-25.pdf
FY2024-25,Amnura 50MW Sinha Power,NENP & SIPP,RANGPUR ZONE,hfo,F.oil,,8.0,,Retired on 03/12/2024,Y,BPDB 2024-25.pdf
FY2024-25,"Power Pac Mutiara,Keranigonj,100MW",NENP & SIPP,RANGPUR ZONE,hfo,F.oil,,6.0,,Retired on 04/04/2025,Y,BPDB 2024-25.pdf
FY2024-25,Julda Acorn Infra.service Ltd.100MW,NENP & SIPP,RANGPUR ZONE,hfo,F.oil,,12.0,,Retired on 18/08/2024,Y,BPDB 2024-25.pdf
