plant_id,plant_name,location,capacity_mw,fuel,fuel_raw,ownership_class,owning_entity,sponsor,commissioning_date,date_precision,commissioning_note,source_doc
bd-keraniganj-power-pack-2012,Keraniganj (Power Pack),Keraniganj,44.0,gas,Gas,rental,BPDB,Power Pack,2012-02-15,day,,bpdb_ar2019_20_commissioning
bd-katakhali-rajshahi-sponsor-npsl-2012,"Katakhali, Rajshahi (Sponsor: NPSL)",Katakhali,100.0,hfo,HFO,rental,BPDB,NPSL,2012-03-26,day,,bpdb_ar2019_20_commissioning
bd-amnura-chapainawabganj-sponsor-sinha-power-2012,"Amnura, Chapainawabganj (Sponsor: Sinha Power)",Amnura,100.0,hfo,HFO,rental,BPDB,Sinha Power,2012-03-27,day,,bpdb_ar2019_20_commissioning
bd-fenchuganj-3-years-rental-sponsor-energy-prime-l-2012,Fenchuganj 3 Years Rental (Sponsor: Energy Prime Ltd.),Fenchuganj,50.0,hfo,HFO,rental,BPDB,Energy Prime Ltd,2012-05-23,day,,bpdb_ar2019_20_commissioning
bd-sylhet-150-mw-power-plant-2012,Sylhet 150 MW Power Plant,Sylhet,150.0,gas,Gas,public,BPDB,,2012-03-28,day,,bpdb_ar2019_20_commissioning
bd-gazipur-50-mw-pp-2012,Gazipur 50 MW PP,Gazipur,52.0,gas_hfo_dual,Gas/HFO,public,RPCL,,2012-07-01,month,,bpdb_ar2019_20_commissioning
bd-sirajganj-150-mw-gt-2012,Sirajganj 150 MW GT,Sirajganj,150.0,gas_hsd_dual,Gas/HSD,public,NWPGCL,,2012-03-01,month,"GT: March, 2012; CC: July 2012",bpdb_ar2019_20_commissioning
bd-santahar-50-mw-peaking-power-plant-2012,Santahar 50 MW Peaking Power Plant,Santahar,50.0,hfo,HFO,public,BPDB,,2012-12-01,month,,bpdb_ar2019_20_commissioning
bd-katakhali-50-mw-peaking-power-plant-2012,Katakhali 50 MW Peaking Power Plant,Katakhali,50.0,hfo,HFO,public,BPDB,,2012-12-01,month,,bpdb_ar2019_20_commissioning
bd-chandpur-150-mw-cc-power-plant-2012,Chandpur 150 MW CC Power Plant,Chandpur,163.0,gas,Gas,public,BPDB,,2012-12-01,month,,bpdb_ar2019_20_commissioning
bd-raujan-25-mw-pp-2013,Raujan 25 MW PP,Raujan,25.0,gas_hfo_dual,Gas/HFO,public,RPCL,,2013-05-03,day,,bpdb_ar2019_20_commissioning
