fy,producer,purchase_class,kwh_cy,kwh_py,bdt_cy,bdt_py,bdt_per_kwh_cy,zero_generation_payment,source_doc
FY2022-23,Orion Power Rupsha Ltd. - Khulna (105MW),ipp,252984384.0,540193296.0,5258595419.0,9038681251.0,20.7862,,BPDB 2022-23.pdf
FY2022-23,Desh Energy Chandpur Power Company Ltd.,ipp,591426293.0,752048193.0,12127923477.0,12934344889.0,20.5062,,BPDB 2022-23.pdf
FY2022-23,Midland East Power Company Ltd.,ipp,546691934.0,858896611.0,11529125480.0,13304285799.0,21.0889,,BPDB 2022-23.pdf
FY2022-23,Baraka Shikalbaha Power Ltd. (105MW),ipp,454346839.0,610898228.0,8325453923.0,9816459440.0,18.324,,BPDB 2022-23.pdf
FY2022-23,Confidence Power Ltd. - Rangpur (113MW),ipp,429432672.0,623970029.0,8871466117.0,10001094642.0,20.6586,,BPDB 2022-23.pdf
FY2022-23,Confidence Power Ltd. (Unit-1) - Bogra,ipp,454345152.0,613355712.0,8897964352.0,10097178928.0,19.5842,,BPDB 2022-23.pdf
FY2022-23,Confidence Power Ltd. (Unit-2) - Bogra,ipp,474997920.0,655152288.0,9336799920.0,10851170802.0,19.6565,,BPDB 2022-23.pdf
FY2022-23,United Jamalpur 200MW,ipp,505753332.0,627954216.0,10034699996.0,10830596553.0,19.8411,,BPDB 2022-23.pdf
FY2022-23,Sympa Solar Power Limited,ipp,13315347.0,11994460.0,181349417.0,135093706.0,13.6196,,BPDB 2022-23.pdf
FY2022-23,RPCL - Gazipur (105MW),ipp,582459089.0,535752588.0,12169426151.0,8934646402.0,20.8932,,BPDB 2022-23.pdf
FY2022-23,United - Anawara (300MW),ipp,1016880349.0,1677406561.0,20242078979.0,27943395632.0,19.9061,,BPDB 2022-23.pdf
FY2022-23,Zodiac Power Ctg. Ltd.,ipp,240836106.0,320369811.0,4598778854.0,5029347420.0,19.0951,,BPDB 2022-23.pdf
FY2022-23,Karnaphuli Power Ltd.,ipp,582870202.0,693947514.0,10646162985.0,10738505984.0,18.2651,,BPDB 2022-23.pdf
FY2022-23,Lanka Power Limited - Feni,ipp,238606811.0,329452681.0,5980298616.0,5721652913.0,25.0634,,BPDB 2022-23.pdf
FY2022-23,HF Power Company Limited,ipp,351069012.0,577999758.0,7647555852.0,8906890033.0,21.7836,,BPDB 2022-23.pdf
FY2022-23,Manikgonj Power Generations Limited (162MW),ipp,484872106.0,1041083049.0,10180903490.0,16458006350.0,20.9971,,BPDB 2022-23.pdf
FY2022-23,HDFC SinPower Ltd. (50MW),ipp,0.0,92430240.0,0.0,1358708897.0,,,BPDB 2022-23.pdf
FY2022-23,Anlima Energy Limited (116MW),ipp,713222138.0,755550326.0,12383457318.0,11468258410.0,17.3627,,BPDB 2022-23.pdf
FY2022-23,United Payra (150MW),ipp,132521484.0,76919436.0,4652276044.0,2502197530.0,35.1058,,BPDB 2022-23.pdf
FY2022-23,Spectra Solar Park,ipp,63580595.0,52473009.0,924032564.0,627377593.0,14.5332,,BPDB 2022-23.pdf
FY2022-23,Tangail Palli Power Generation Ltd. (22MW),ipp,95057230.0,149421480.0,1826227900.0,2365086053.0,19.2119,,BPDB 2022-23.pdf
FY2022-23,Nutan Bidyut (Bangladesh) Ltd. (220MW),ipp,1140715216.0,1653494918.0,5943225716.0,4973733765.0,5.2101,,BPDB 2022-23.pdf
FY2022-23,Bhairab Power Limited (54.50MW),ipp,208651680.0,198278640.0,4199821774.0,3361477855.0,20.1284,,BPDB 2022-23.pdf
FY2022-23,Acron Infrastructure Services Ltd. Unit-2,ipp,298338048.0,512083584.0,6500036770.0,8055322054.0,21.7875,,BPDB 2022-23.pdf
FY2022-23,Orion Power Sonargaon Ltd.,ipp,343667904.0,638940480.0,8837355589.0,8427320532.0,25.7148,,BPDB 2022-23.pdf
FY2022-23,Chandpur Power Generation Lttd. (115MW),ipp,466547078.0,205345603.0,8428801830.0,3713184400.0,18.0663,,BPDB 2022-23.pdf
FY2022-23,EPV Thakurgoan Limited (115MW),ipp,366860352.0,191362182.0,7888172208.0,3406841241.0,21.5018,,BPDB 2022-23.pdf
FY2022-23,Kamchan Purbachal Power Generation Limited (55MW),ipp,210104633.0,190009188.0,3962076722.0,3183850656.0,18.8576,,BPDB 2022-23.pdf
