fy,producer,purchase_class,kwh_cy,kwh_py,bdt_cy,bdt_py,bdt_per_kwh_cy,zero_generation_payment,source_doc
FY2024-25,RPC LTD. Mymensingh (210 MW),ipp,243363322.0,590137884.0,4748536837.0,6101347630.0,19.5121,,BPDB 2024-25.pdf
FY2024-25,BPDB RPCL Power Gen Ltd.,ipp,452134660.0,363875770.0,11878583013.0,9779698515.0,26.2722,,BPDB 2024-25.pdf
FY2024-25,Haripur Power Ltd.,ipp,0.0,1081853610.0,502765.0,3871234143.0,,Y,BPDB 2024-25.pdf
FY2024-25,Meghnaghat Power Ltd.,ipp,3031318900.0,3008790884.0,16139340598.0,13187351320.0,5.3242,,BPDB 2024-25.pdf
FY2024-25,Doreen Power Generation & System Ltd.-Feni,ipp,0.0,95112204.0,0.0,463542813.0,,,BPDB 2024-25.pdf
FY2024-25,Doreen Power Generation & System Ltd.- Tangail,ipp,0.0,50266292.0,0.0,314375888.0,,,BPDB 2024-25.pdf
FY2024-25,Regent Power Ltd.,ipp,0.0,83495391.0,0.0,556899472.0,,,BPDB 2024-25.pdf
FY2024-25,Summit Purbachal Power Ltd.-Jangalia,ipp,0.0,238576793.0,0.0,1445834652.0,,,BPDB 2024-25.pdf
FY2024-25,Summit Meghnaghat Power Ltd.,ipp,1321276199.0,1121910644.0,11784870095.0,10523927364.0,8.9193,,BPDB 2024-25.pdf
FY2024-25,Midland Power Company Ltd.,ipp,371569595.0,336871329.0,2735851763.0,1974351195.0,7.363,,BPDB 2024-25.pdf
FY2024-25,Raj Lanka Power Limited,ipp,16726958.0,31609244.0,605635946.0,845439311.0,36.2072,,BPDB 2024-25.pdf
FY2024-25,Baraka Patenga Power Limited,ipp,69889728.0,81470976.0,2027298901.0,2028222850.0,29.0071,,BPDB 2024-25.pdf
FY2024-25,Digital Power & Associates Ltd.,ipp,79920529.0,225291006.0,2986278238.0,5285379024.0,37.3656,,BPDB 2024-25.pdf
FY2024-25,Regent Energy & Power Ltd.,ipp,23931134.0,221413891.0,1269606818.0,2045431191.0,53.0525,,BPDB 2024-25.pdf
FY2024-25,United Power Generation & Distribution,ipp,184236960.0,172986000.0,1635276165.0,607328738.0,8.8759,,BPDB 2024-25.pdf
FY2024-25,RPCL 52MW Gazipur,ipp,91939949.0,74134679.0,2459476176.0,1962669472.0,26.7509,,BPDB 2024-25.pdf
FY2024-25,RPCL 25MW Rawjan,ipp,28331722.0,54836673.0,901444966.0,1409739525.0,31.8175,,BPDB 2024-25.pdf
