fy,plant_name,sector,zone,fuel,fuel_raw,capacity_mw,generation_gwh,plant_factor,remark,retired,source_doc
FY2020-21,Kutubdia 900KW Wind PP,PUBLIC,CHATTOGRAM ZONE,wind,Wind,0.0,0.6083,,-,,BPDB 2020-21.pdf
FY2020-21,Kaptai Solar,PUBLIC,CHATTOGRAM ZONE,solar,Solar,7.0,9.7123,0.1584,15.9%,,BPDB 2020-21.pdf
FY2020-21,Ashuganj TPP Unit-4,PUBLIC,CUMILLA ZONE,gas,Gas,150.0,279.6746,0.2128,26.1%,,BPDB 2020-21.pdf
FY2020-21,Ashuganj 50 MW PP,PUBLIC,CUMILLA ZONE,gas,Gas,53.0,184.7955,0.398,48.3%,,BPDB 2020-21.pdf
FY2020-21,Ashuganj 225 MW CCPP,PUBLIC,CUMILLA ZONE,gas,Gas,221.0,1574.3307,0.8132,82.8%,,BPDB 2020-21.pdf
FY2020-21,Ashuganj 450 MW CCPP (South),PUBLIC,CUMILLA ZONE,gas,Gas,360.0,1955.573,0.6201,64.6%,,BPDB 2020-21.pdf
FY2020-21,Ashuganj 450 MW CCPP (North),PUBLIC,CUMILLA ZONE,gas,Gas,360.0,2088.9237,0.6624,69.4%,,BPDB 2020-21.pdf
FY2020-21,Chandpur 150 MW CCPP,PUBLIC,CUMILLA ZONE,gas,Gas,163.0,596.5169,0.4178,44.1%,,BPDB 2020-21.pdf
FY2020-21,Titas 50 MW Peaking PP,PUBLIC,CUMILLA ZONE,hfo,F.Oil,52.0,45.1598,0.0991,10.4%,,BPDB 2020-21.pdf
FY2020-21,"Shahjibazar 70 MW GT, Habiganj",PUBLIC,SYLHET ZONE,gas,Gas,70.0,361.4274,0.5894,62.8%,,BPDB 2020-21.pdf
FY2020-21,Shahjibazar 330 MW CCPP,PUBLIC,SYLHET ZONE,gas,Gas,330.0,1505.2982,0.5207,54.6%,,BPDB 2020-21.pdf
FY2020-21,Fenchuganj C.C. (Unit #1),PUBLIC,SYLHET ZONE,gas,Gas,97.0,396.7305,0.4669,66.2%,,BPDB 2020-21.pdf
FY2020-21,Fenchuganj C.C. (Unit #2),PUBLIC,SYLHET ZONE,gas,Gas,104.0,240.2846,0.2637,34.0%,,BPDB 2020-21.pdf
FY2020-21,Sylhet 1x20 MW /GT,PUBLIC,SYLHET ZONE,gas,Gas,20.0,111.0293,0.6337,63.7%,,BPDB 2020-21.pdf
FY2020-21,Sylhet 225 MW CCPP,PUBLIC,SYLHET ZONE,gas,Gas,231.0,1075.5239,0.5315,54.8%,,BPDB 2020-21.pdf
FY2020-21,Bibiana III 400 MW CCPP,PUBLIC,SYLHET ZONE,gas,Gas,400.0,1839.712,0.525,54.9%,,BPDB 2020-21.pdf
FY2020-21,Shahazibazar 100 MW GT,PUBLIC,SYLHET ZONE,gas,Gas,100.0,39.4552,0.045,5.2%,,BPDB 2020-21.pdf
FY2020-21,Bibiyana - South 383 MW CCPP,PUBLIC,SYLHET ZONE,gas,Gas,383.0,1351.3021,0.4028,40.6%,,BPDB 2020-21.pdf
FY2020-21,Khulna 225 MW (NWPGCL),PUBLIC,KHULNA ZONE,hsd,HSD,230.0,279.0524,0.1385,14.4%,,BPDB 2020-21.pdf
FY2020-21,Bheramara GT unit-3,PUBLIC,KHULNA ZONE,hsd,HSD,20.0,-0.1532,,0.0%,,BPDB 2020-21.pdf
FY2020-21,Bheramara 360 MW CCPP (NWPGCL),PUBLIC,KHULNA ZONE,gas,Gas,410.0,2706.8683,0.7537,78.9%,,BPDB 2020-21.pdf
FY2020-21,Faridpur 50 MW Peaking PP,PUBLIC,KHULNA ZONE,hfo,F.Oil,54.0,15.5429,0.0329,3.7%,,BPDB 2020-21.pdf
FY2020-21,Gopalganj 100 MW Peaking PP,PUBLIC,KHULNA ZONE,hfo,F.Oil,109.0,4.1326,0.0043,0.7%,,BPDB 2020-21.pdf
FY2020-21,Modhumoti 105 MW NWPGCL,PUBLIC,KHULNA ZONE,hfo,F.Oil,105.0,12.4258,0.0135,1.5%,,BPDB 2020-21.pdf
FY2020-21,Bhola 225 MW CCPP,PUBLIC,BARISHAL ZONE,gas,Gas,194.0,315.2895,0.1855,,,BPDB 2020-21.pdf
FY2020-21,Baghabari 50 MW Peaking RE,PUBLIC,RAJSHAHI ZONE,hfo,F.Oil,52.0,85.4892,0.1877,19.1%,,BPDB 2020-21.pdf
FY2020-21,Bera 70 MW Peaking RE,PUBLIC,RAJSHAHI ZONE,hfo,F.Oil,71.0,31.2907,0.0503,5.2%,,BPDB 2020-21.pdf
FY2020-21,Santahar 50 MW PP,PUBLIC,RAJSHAHI ZONE,hfo,F.Oil,50.0,42.8089,0.0977,10.0%,,BPDB 2020-21.pdf
FY2020-21,Katakhali 50 MW PP,PUBLIC,RAJSHAHI ZONE,hfo,F.Oil,50.0,51.4384,0.1174,12.0%,,BPDB 2020-21.pdf
FY2020-21,"Chapainobabgonj Peaking Power Station 100 MW, Amnura",PUBLIC,RAJSHAHI ZONE,hfo,F.Oil,104.0,259.43144,0.2848,29.1%,,BPDB 2020-21.pdf
FY2020-21,Sirajgonj 2 MW Wind Plant,PUBLIC,RAJSHAHI ZONE,wind,Wind,,0.0301,,-,,BPDB 2020-21.pdf
FY2020-21,Sirajgonj 7.6 MW Solar Power Plant,PUBLIC,RAJSHAHI ZONE,solar,Solar,6.0,3.9538,0.0752,-,,BPDB 2020-21.pdf
FY2020-21,Saidpur 20 MW /GT,PUBLIC,RANGPUR ZONE,hsd,HSD,20.0,2.0647,0.0118,1.3%,,BPDB 2020-21.pdf
FY2020-21,Rangpur 20 MW /GT,PUBLIC,RANGPUR ZONE,hsd,HSD,20.0,1.4037,0.008,0.9%,,BPDB 2020-21.pdf
FY2020-21,Midland Power Co. Ashuganj 51 MW,PRIVATE,RANGPUR ZONE,gas,GAS,51.0,294.124,0.6583,66%,,BPDB 2020-21.pdf
FY2020-21,Rural Power Company Ltd.(RPCL),PRIVATE,RANGPUR ZONE,gas,GAS,210.0,1150.0912,0.6252,63%,,BPDB 2020-21.pdf
FY2020-21,Haripur Power Ltd.,PRIVATE,RANGPUR ZONE,gas,GAS,360.0,2315.379,0.7342,73%,,BPDB 2020-21.pdf
FY2020-21,Meghnaghat Power Ltd.,PRIVATE,RANGPUR ZONE,gas,GAS,450.0,2275.4899,0.5772,58%,,BPDB 2020-21.pdf
FY2020-21,Regent Energy & Power Ltd 108 MW,PRIVATE,RANGPUR ZONE,gas,GAS,108.0,591.4501,0.6252,63%,,BPDB 2020-21.pdf
FY2020-21,United Power Co. Ltd.200 MW Exp,PRIVATE,RANGPUR ZONE,gas,GAS,195.0,145.6385,0.0853,9%,,BPDB 2020-21.pdf
FY2020-21,Summit Bibiyana - II Power Co Ltd. 341 MW,PRIVATE,RANGPUR ZONE,gas,GAS,341.0,2455.8871,0.8221,82%,,BPDB 2020-21.pdf
FY2020-21,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,PRIVATE,RANGPUR ZONE,gas,GAS,163.0,1065.5715,0.7463,75%,,BPDB 2020-21.pdf
FY2020-21,Sembcorp NWPGCL,PRIVATE,RANGPUR ZONE,gas,GAS,414.0,2945.2366,0.8121,81%,,BPDB 2020-21.pdf
FY2020-21,Summit Meghnaghat Power Co.Ltd.,PRIVATE,RANGPUR ZONE,gas,GAS,305.0,1559.0939,0.5835,58%,,BPDB 2020-21.pdf
FY2020-21,Nutan Biddyut 220MW Bhola,PRIVATE,RANGPUR ZONE,gas,GAS,220.0,266.9117,0.1385,14%,,BPDB 2020-21.pdf
FY2020-21,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,PRIVATE,RANGPUR ZONE,hfo,F.Oil,52.0,146.3081,0.3212,32%,,BPDB 2020-21.pdf
FY2020-21,Digital Power & Associates Gagnagar,PRIVATE,RANGPUR ZONE,hfo,F.Oil,102.0,325.564,0.3644,36%,,BPDB 2020-21.pdf
FY2020-21,Baraka Patenga,PRIVATE,RANGPUR ZONE,hfo,F.Oil,50.0,198.9216,0.4542,45%,,BPDB 2020-21.pdf
FY2020-21,ECPV Chattogram Limited 108 MW,PRIVATE,RANGPUR ZONE,hfo,F.Oil,108.0,190.2545,0.2011,20%,,BPDB 2020-21.pdf
FY2020-21,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,PRIVATE,RANGPUR ZONE,hfo,F.Oil,52.0,158.5054,0.348,35%,,BPDB 2020-21.pdf
FY2020-21,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,PRIVATE,RANGPUR ZONE,hfo,F.Oil,51.0,21.3606,0.0478,5%,,BPDB 2020-21.pdf
FY2020-21,Summit Barishal (110 MW),PRIVATE,RANGPUR ZONE,hfo,F.Oil,110.0,218.6086,0.2269,23%,,BPDB 2020-21.pdf
FY2020-21,Summit Narayangonj Power unit-2 Madangonj (55 MW),PRIVATE,RANGPUR ZONE,hfo,F.Oil,55.0,259.5017,0.5386,54%,,BPDB 2020-21.pdf
FY2020-21,Dhaka(Doreen) Northern Power Ltd.Manikgonj,PRIVATE,RANGPUR ZONE,hfo,F.Oil,55.0,231.8441,0.4812,48%,,BPDB 2020-21.pdf
FY2020-21,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,PRIVATE,RANGPUR ZONE,hfo,F.Oil,55.0,237.8964,0.4938,49%,,BPDB 2020-21.pdf
FY2020-21,Powerpac Mutiara Jamalpur Power plant Ltd,PRIVATE,RANGPUR ZONE,hfo,F.Oil,95.0,289.7374,0.3482,35%,,BPDB 2020-21.pdf
FY2020-21,CLC Power Co. Ltd. 108 MW Bosila Keranigonj,PRIVATE,RANGPUR ZONE,hfo,F.Oil,108.0,0.0,,0%,,BPDB 2020-21.pdf
FY2020-21,Kamalaghat Banco Energy Generation,PRIVATE,RANGPUR ZONE,hfo,F.Oil,54.0,309.349,0.654,65%,,BPDB 2020-21.pdf
FY2020-21,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),PRIVATE,RANGPUR ZONE,hfo,F.Oil,300.0,1280.2528,0.4872,49%,,BPDB 2020-21.pdf
FY2020-21,United Mymensing Power(UMPL) 200MW Generation,PRIVATE,RANGPUR ZONE,hfo,F.Oil,200.0,1019.8212,0.5821,58%,,BPDB 2020-21.pdf
FY2020-21,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,PRIVATE,RANGPUR ZONE,hfo,F.Oil,149.0,791.75,0.6066,61%,,BPDB 2020-21.pdf
FY2020-21,Lobonchora Orion Power Rupsha Ltd. 105 MW,PRIVATE,RANGPUR ZONE,hfo,F.Oil,105.0,361.1674,0.3927,0.4%,,BPDB 2020-21.pdf
FY2020-21,Desh Energy Chandpur 200 MW,PRIVATE,RANGPUR ZONE,hfo,F.Oil,200.0,535.4999,0.3057,31%,,BPDB 2020-21.pdf
FY2020-21,Juldha Acorn 100 MW Unit-3,PRIVATE,RANGPUR ZONE,hfo,F.Oil,100.0,610.5613,0.697,70%,,BPDB 2020-21.pdf
FY2020-21,Ashugonj 150 MW (Midland East),PRIVATE,RANGPUR ZONE,hfo,F.Oil,150.0,410.3474,0.3123,31%,,BPDB 2020-21.pdf
FY2020-21,United Jamalpur PPL,PRIVATE,RANGPUR ZONE,hfo,F.Oil,115.0,538.4717,0.5345,53%,,BPDB 2020-21.pdf
FY2020-21,Confidence CPBL- 2 Bogura,PRIVATE,RANGPUR ZONE,hfo,F.Oil,113.0,447.8107,0.4524,45%,,BPDB 2020-21.pdf
FY2020-21,Baraka Shikalbaha 105MW PS,PRIVATE,RANGPUR ZONE,hfo,F.Oil,105.0,160.1848,0.1742,17%,,BPDB 2020-21.pdf
FY2020-21,United Anwara 300MW PS,PRIVATE,RANGPUR ZONE,hfo,F.Oil,300.0,1195.9981,0.4551,46%,,BPDB 2020-21.pdf
FY2020-21,Confidence Power Ltd. 113MW Rangpur,PRIVATE,RANGPUR ZONE,hfo,F.Oil,113.0,494.4,0.4995,50%,,BPDB 2020-21.pdf
FY2020-21,Jodiac Power,PRIVATE,RANGPUR ZONE,hfo,F.Oil,54.0,276.7625,0.5851,59%,,BPDB 2020-21.pdf
FY2020-21,Karnaphuli Power Ltd.,PRIVATE,RANGPUR ZONE,hfo,F.Oil,110.0,87.2665,0.0906,9%,,BPDB 2020-21.pdf
FY2020-21,Feni Lanka Power 114 MW PP,PRIVATE,RANGPUR ZONE,hfo,F.Oil,114.0,193.2808,0.1935,19%,,BPDB 2020-21.pdf
FY2020-21,Bogura 113 MW PP (Confidence) Unit-1,PRIVATE,RANGPUR ZONE,hfo,F.Oil,113.0,468.1931,0.473,47%,,BPDB 2020-21.pdf
FY2020-21,HF 113 MW Power Limited,PRIVATE,RANGPUR ZONE,hfo,F.Oil,113.0,551.0603,0.5567,56%,,BPDB 2020-21.pdf
FY2020-21,Julda 100 MW Unit - 2 (Acorn ),PRIVATE,RANGPUR ZONE,hfo,F.Oil,100.0,687.7112,0.7851,79%,,BPDB 2020-21.pdf
FY2020-21,Manikganj 162MW P0wer Generation,PRIVATE,RANGPUR ZONE,hfo,F.Oil,162.0,373.1234,0.2629,26%,,BPDB 2020-21.pdf
FY2020-21,Orion Power Sonargaon Ltd.,PRIVATE,RANGPUR ZONE,hfo,F.Oil,104.0,451.8127,0.4959,50%,,BPDB 2020-21.pdf
FY2020-21,Anlima Chattogram 116 MW,PRIVATE,RANGPUR ZONE,hfo,F.Oil,116.0,125.1359,0.1231,12%,,BPDB 2020-21.pdf
FY2020-21,Tangail Polly Power 22 MW TPPGCl,PRIVATE,RANGPUR ZONE,hfo,F.Oil,22.0,74.9804,0.3891,39%,,BPDB 2020-21.pdf
FY2020-21,Bhairab Power 54.5 MW,PRIVATE,RANGPUR ZONE,hfo,F.Oil,54.0,70.3824,0.1488,15%,,BPDB 2020-21.pdf
FY2020-21,United Payra PP Patuakhali Imp,PRIVATE,RANGPUR ZONE,hfo,F.Oil,150.0,33.4596,0.0255,3%,,BPDB 2020-21.pdf
FY2020-21,APR Energy 300MW,PRIVATE,RANGPUR ZONE,hsd,HSD,300.0,71.9614,0.0274,3%,,BPDB 2020-21.pdf
FY2020-21,Daudkandi 200MW(Bangla Trac),PRIVATE,RANGPUR ZONE,hsd,HSD,200.0,40.5404,0.0231,2%,,BPDB 2020-21.pdf
FY2020-21,Noapara100MW (Bangla Trac),PRIVATE,RANGPUR ZONE,hsd,HSD,100.0,122.2197,0.1395,14%,,BPDB 2020-21.pdf
FY2020-21,"Aggreko, Aourahati 100MW",PRIVATE,RANGPUR ZONE,hsd,HSD,100.0,37.1663,0.0424,4%,,BPDB 2020-21.pdf
FY2020-21,"Aggreko, Brahmangaon 100MW",PRIVATE,RANGPUR ZONE,hsd,HSD,100.0,28.8673,0.033,3%,,BPDB 2020-21.pdf
FY2020-21,Paramount Baghabari BanglaTrack,PRIVATE,RANGPUR ZONE,hsd,HSD,200.0,22.1198,0.0126,1%,,BPDB 2020-21.pdf
FY2020-21,Sharishabari 3 MW Engreen Solar Power Plant,PRIVATE,RANGPUR ZONE,solar,Solar,3.0,3.9442,0.1501,15%,,BPDB 2020-21.pdf
FY2020-21,20 MW Solar Teknaf,PRIVATE,RANGPUR ZONE,solar,Solar,20.0,33.4382,0.1909,19%,,BPDB 2020-21.pdf
FY2020-21,Sympa Solar Power 8 MW,PRIVATE,RANGPUR ZONE,solar,Solar,8.0,11.269,0.1608,16%,,BPDB 2020-21.pdf
FY2020-21,50 MW HDFC Solar Power Plant,PRIVATE,RANGPUR ZONE,solar,Solar,50.0,64.8588,0.1481,15%,,BPDB 2020-21.pdf
FY2020-21,Manikganj 35MW Spectra Solar Park Ltd.,PRIVATE,RANGPUR ZONE,solar,Solar,35.0,29.1477,0.0951,10%,,BPDB 2020-21.pdf
FY2020-21,Bogura RPP (24MW) 15 yrs,PRIVATE,RANGPUR ZONE,gas,GAS,22.0,167.4902,0.8691,87%,,BPDB 2020-21.pdf
FY2020-21,Bogura 20 RPP (3 Yrs) Energy Prima,PRIVATE,RANGPUR ZONE,gas,GAS,20.0,30.3411,0.1732,17%,,BPDB 2020-21.pdf
FY2020-21,Tangail SIPP (22 MW) (Doreen Power Ltd.),PRIVATE,RANGPUR ZONE,gas,GAS,22.0,141.1988,0.7327,73%,,BPDB 2020-21.pdf
FY2020-21,Feni SIPP (22 MW) (Doreen Power Ltd.),PRIVATE,RANGPUR ZONE,gas,GAS,22.0,160.0048,0.8302,83%,,BPDB 2020-21.pdf
FY2020-21,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),PRIVATE,RANGPUR ZONE,gas,GAS,33.0,258.2576,0.8934,89%,,BPDB 2020-21.pdf
FY2020-21,Ashugonj 55 MW 3Yrs Rental (Precision Energy),PRIVATE,RANGPUR ZONE,gas,GAS,55.0,208.8067,0.4334,43%,,BPDB 2020-21.pdf
FY2020-21,Sahzibazar 86 MW RPP (15 yrs),PRIVATE,RANGPUR ZONE,gas,GAS,86.0,605.4847,0.8037,80%,,BPDB 2020-21.pdf
FY2020-21,Kumargao 10 MW Desh Combridge (15 Yrs),PRIVATE,RANGPUR ZONE,gas,GAS,10.0,61.4628,0.7016,70%,,BPDB 2020-21.pdf
FY2020-21,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),PRIVATE,RANGPUR ZONE,gas,GAS,51.0,353.0717,0.7903,79%,,BPDB 2020-21.pdf
FY2020-21,Barabkundu SIPP 22 MW (Regent Power),PRIVATE,RANGPUR ZONE,gas,GAS,22.0,157.7652,0.8186,82%,,BPDB 2020-21.pdf
FY2020-21,Bhola 32 MW (Venture Energy Resources Ltd.),PRIVATE,RANGPUR ZONE,gas,GAS,33.0,199.538,0.6903,69%,,BPDB 2020-21.pdf
FY2020-21,Aggreko 95 MW Bhola,PRIVATE,RANGPUR ZONE,gas,GAS,95.0,511.5654,0.6147,61%,,BPDB 2020-21.pdf
FY2020-21,KPCL( 115 MW) U-2,PRIVATE,RANGPUR ZONE,hfo,F.oil,115.0,433.6464,0.4305,43%,,BPDB 2020-21.pdf
FY2020-21,Summit Power Co. Ltd Madangonj (100 MW),PRIVATE,RANGPUR ZONE,hfo,F.oil,102.0,353.3363,0.3954,40%,,BPDB 2020-21.pdf
FY2020-21,"IEL, Meghnaghat 100 MW",PRIVATE,RANGPUR ZONE,hfo,F.oil,100.0,270.9907,0.3094,31%,,BPDB 2020-21.pdf
FY2020-21,Shiddirganj Dutchbangla 100 MW,PRIVATE,RANGPUR ZONE,hfo,F.oil,100.0,366.3626,0.4182,42%,,BPDB 2020-21.pdf
FY2020-21,Amnura 50MW Sinha Power,PRIVATE,RANGPUR ZONE,hfo,F.oil,50.0,34.312,0.0783,8%,,BPDB 2020-21.pdf
FY2020-21,"Power Pac Mutiara,Keranigonj,100MW",PRIVATE,RANGPUR ZONE,hfo,F.oil,100.0,217.866,0.2487,25%,,BPDB 2020-21.pdf
FY2020-21,Julda Acorn Infra.service Ltd.100MW,PRIVATE,RANGPUR ZONE,hfo,F.oil,100.0,189.9422,0.2168,22%,,BPDB 2020-21.pdf
FY2020-21,Katakhali (Northern) Peaking,PRIVATE,RANGPUR ZONE,hfo,F.oil,50.0,21.6708,0.0495,5%,,BPDB 2020-21.pdf
