fy,plant_name,sector,zone,fuel,fuel_raw,capacity_mw,generation_gwh,plant_factor,remark,retired,source_doc
FY2020-21,Ghorasal Repowered CCPP Unit-4,PUBLIC,DHAKA ZONE,gas,Gas,210.0,280.5226,0.1525,19.7%,,BPDB 2020-21.pdf
FY2020-21,Ghorasal 365 MW CCPP Unit-7,PUBLIC,DHAKA ZONE,gas,Gas,365.0,1315.1245,0.4113,43.4%,,BPDB 2020-21.pdf
FY2020-21,Tongi 80 MW GTPP,PUBLIC,DHAKA ZONE,gas,Gas,105.0,-0.2004,,-,,BPDB 2020-21.pdf
FY2020-21,Haripur GTPP,PUBLIC,DHAKA ZONE,gas,Gas,32.0,-0.4225,,-,,BPDB 2020-21.pdf
FY2020-21,210 MW Shiddirganj TPP,PUBLIC,DHAKA ZONE,gas,Gas,210.0,-1.287,,-,,BPDB 2020-21.pdf
FY2020-21,Siddhirganj 2x120 MW GTPP,PUBLIC,DHAKA ZONE,gas,Gas,210.0,563.9633,0.3066,31.8%,,BPDB 2020-21.pdf
FY2020-21,Haripur 412 MW CCPP,PUBLIC,DHAKA ZONE,gas,Gas,412.0,1817.5804,0.5036,52.7%,,BPDB 2020-21.pdf
FY2020-21,Gazipur 52 MW PP,PUBLIC,DHAKA ZONE,hfo,F.Oil,52.0,112.6812,0.2474,25.5%,,BPDB 2020-21.pdf
FY2020-21,Kodda 150 MW PP,PUBLIC,DHAKA ZONE,hfo,F.Oil,149.0,387.4975,0.2969,30.8%,,BPDB 2020-21.pdf
FY2020-21,Siddhirganj 335 MW CCPP,PUBLIC,DHAKA ZONE,gas,Gas,335.0,1042.3959,0.3552,37.3%,,BPDB 2020-21.pdf
FY2020-21,Gazipur 100 MW PP,PUBLIC,DHAKA ZONE,hfo,F.Oil,105.0,370.9008,0.4032,41.0%,,BPDB 2020-21.pdf
FY2020-21,Karnafuli Hydro,PUBLIC,CHATTOGRAM ZONE,hydro,Hydro,230.0,654.9908,0.3251,32.6%,,BPDB 2020-21.pdf
FY2020-21,Hathazari 100 MW Peaking PP,PUBLIC,CHATTOGRAM ZONE,hfo,F.Oil,98.0,-0.8567,,0.1%,,BPDB 2020-21.pdf
FY2020-21,"Sangu, Dohazari-kaliaish 100 MW PPP",PUBLIC,CHATTOGRAM ZONE,hfo,F.Oil,102.0,203.2578,0.2275,23.4%,,BPDB 2020-21.pdf
FY2020-21,RPCL Raozan 25 MW,PUBLIC,CHATTOGRAM ZONE,hfo,F.Oil,25.0,68.4048,0.3124,32.1%,,BPDB 2020-21.pdf
FY2020-21,Sonagazi 1 MW Wind PP,PUBLIC,CHATTOGRAM ZONE,wind,Wind,0.0,0.023,,-,,BPDB 2020-21.pdf
