fy,producer,purchase_class,kwh_cy,kwh_py,bdt_cy,bdt_py,bdt_per_kwh_cy,zero_generation_payment,source_doc
FY2023-24,RPC LTD. Mymensingh (210 MW),ipp,590137884.0,699028425.0,6101347630.0,3988275958.0,10.3389,,BPDC 2023-24.pdf
FY2023-24,BPDB RPCL Power Gen Ltd.,ipp,363875770.0,426410813.0,9779698515.0,10857191501.0,26.8765,,BPDC 2023-24.pdf
FY2023-24,Haripur Power Ltd.,ipp,1081853610.0,2370597850.0,3871234143.0,6249378037.0,3.5783,,BPDC 2023-24.pdf
FY2023-24,Meghnaghat Power Ltd.,ipp,3008790884.0,2122537049.0,13187351320.0,8977102355.0,4.3829,,BPDC 2023-24.pdf
FY2023-24,Doreen Power Generation & System Ltd.-Feni,ipp,95112204.0,152664911.0,463542813.0,588824216.0,4.8736,,BPDC 2023-24.pdf
FY2023-24,Doreen Power Generation & System Ltd.- Tangail,ipp,50266292.0,126435012.0,314375888.0,543940155.0,6.2542,,BPDC 2023-24.pdf
FY2023-24,Regent Power Ltd.,ipp,83495391.0,70807466.0,556899472.0,436522485.0,6.6698,,BPDC 2023-24.pdf
FY2023-24,Summit Purbachal Power Ltd.-Jangalia,ipp,238576793.0,228536043.0,1445834652.0,1149869368.0,6.0602,,BPDC 2023-24.pdf
FY2023-24,Summit Meghnaghat Power Ltd.,ipp,1121910644.0,1177688704.0,10523927364.0,10009832413.0,9.3804,,BPDC 2023-24.pdf
FY2023-24,Midland Power Company Ltd.,ipp,336871329.0,333608753.0,1974351195.0,1545370273.0,5.8608,,BPDC 2023-24.pdf
FY2023-24,Raj Lanka Power Limited,ipp,31609244.0,59674439.0,845439311.0,1556273840.0,26.7466,,BPDC 2023-24.pdf
FY2023-24,Baraka Patenga Power Limited,ipp,81470976.0,186282624.0,2028222850.0,3547873329.0,24.895,,BPDC 2023-24.pdf
FY2023-24,Digital Power & Associates Ltd.,ipp,225291006.0,289381190.0,5285379024.0,5814735402.0,23.4602,,BPDC 2023-24.pdf
FY2023-24,Regent Energy & Power Ltd.,ipp,221413891.0,467745222.0,2045431191.0,2159146231.0,9.238,,BPDC 2023-24.pdf
FY2023-24,United Power Generation & Distribution,ipp,172986000.0,156985440.0,607328738.0,456618481.0,3.5109,,BPDC 2023-24.pdf
FY2023-24,RPCL 52MW Gazipur,ipp,74134679.0,231599150.0,1962669472.0,4928709185.0,26.4744,,BPDC 2023-24.pdf
FY2023-24,RPCL 25MW Rawjan,ipp,54836673.0,131373257.0,1409739525.0,2763389415.0,25.708,,BPDC 2023-24.pdf
FY2023-24,Lakdhanvi Bangla Power Ltd.,ipp,180455386.0,107558859.0,4053605487.0,2501096744.0,22.4632,,BPDC 2023-24.pdf
FY2023-24,ECPV Power Ltd.,ipp,62737128.0,85806552.0,2645365575.0,2829340172.0,42.1659,,BPDC 2023-24.pdf
FY2023-24,ACE Alliance Power Ltd. (149MW) (Summit Gazipur),ipp,414870912.0,606898512.0,9846377877.0,11595940386.0,23.7336,,BPDC 2023-24.pdf
FY2023-24,United Ashugang Energy Ltd.,ipp,231047122.0,357464994.0,4680811174.0,4532341541.0,20.2591,,BPDC 2023-24.pdf
FY2023-24,Summit Bibiyana II Power Company Ltd.,ipp,2429621804.0,2164952204.0,12618603167.0,8769679402.0,5.1936,,BPDC 2023-24.pdf
FY2023-24,Summit Barishal Power Ltd.,ipp,148898304.0,114976896.0,4664967072.0,3712705174.0,31.3299,,BPDC 2023-24.pdf
FY2023-24,Summit Narayangonj Power Unit II Ltd.,ipp,144961726.0,250675040.0,3609758884.0,4935475646.0,24.9015,,BPDC 2023-24.pdf
FY2023-24,Dhaka Southern Power Limited,ipp,103371936.0,198144857.0,2688367201.0,4057804394.0,26.0067,,BPDC 2023-24.pdf
FY2023-24,Dhaka Northern Power Limited,ipp,111082984.0,218947701.0,2683259962.0,4052794642.0,24.1555,,BPDC 2023-24.pdf
FY2023-24,Shahjanullah Power Generation Co. Ltd.,ipp,109628573.0,70061323.0,403831171.0,238069873.0,3.6836,,BPDC 2023-24.pdf
