fy,producer,purchase_class,kwh_cy,kwh_py,bdt_cy,bdt_py,bdt_per_kwh_cy,zero_generation_payment,source_doc
FY2020-21,RPC LTD. Mymensingh (210 MW),ipp,1150056632.0,1289580768.0,3840313302.0,4400973182.0,3.3392,,BPDB 2020-21.pdf
FY2020-21,Haripur Power Ltd.,ipp,2315379010.0,2585723830.0,3878445190.0,4082364590.0,1.6751,,BPDB 2020-21.pdf
FY2020-21,Meghnaghat Power Ltd.,ipp,2276324250.0,3042188735.0,6238656026.0,7702108964.0,2.7407,,BPDB 2020-21.pdf
FY2020-21,Doreen Power Generation & System Ltd.-Feni,ipp,160004772.0,141279396.0,459479489.0,415324790.0,2.8717,,BPDB 2020-21.pdf
FY2020-21,Doreen Power Generation & System Ltd.- Tangail,ipp,151198828.0,143404572.0,432331158.0,418599224.0,2.8594,,BPDB 2020-21.pdf
FY2020-21,Regent Power Ltd.,ipp,157765152.0,156648285.0,463450991.0,459412619.0,2.9376,,BPDB 2020-21.pdf
FY2020-21,Summit Purbachal Power Ltd.-Jangalia,ipp,258257635.0,208181905.0,941362032.0,732228346.0,3.6451,,BPDB 2020-21.pdf
FY2020-21,Summit Meghnaghat Power Ltd.,ipp,1559093909.0,1232984954.0,6547648630.0,6261944337.0,4.1996,,BPDB 2020-21.pdf
FY2020-21,Midland Power Company Ltd.,ipp,294124026.0,267912697.0,930353155.0,875684572.0,3.1631,,BPDB 2020-21.pdf
FY2020-21,Raj Lanka Power Limited,ipp,146308138.0,80771237.0,1806686667.0,1391433185.0,12.3485,,BPDB 2020-21.pdf
FY2020-21,Baraka Patenga Power Limited,ipp,198921600.0,133215792.0,2363521802.0,1738349397.0,11.8817,,BPDB 2020-21.pdf
FY2020-21,Digital Power & Associates Ltd.,ipp,325564002.0,228469691.0,3736039993.0,2686001914.0,11.4756,,BPDB 2020-21.pdf
FY2020-21,Regent Energy & Power Ltd.,ipp,591450096.0,286323365.0,1726171586.0,1361023355.0,2.9185,,BPDB 2020-21.pdf
FY2020-21,United Power Generation & Distribution,ipp,205400640.0,220248960.0,671909952.0,733501951.0,3.2712,,BPDB 2020-21.pdf
FY2020-21,RPCL 52MW Gazipur,ipp,112666731.0,93961416.0,1794318893.0,1608591025.0,15.9259,,BPDB 2020-21.pdf
FY2020-21,RPCL 25MW Rawjan,ipp,68409238.0,33256526.0,932009423.0,721093405.0,13.624,,BPDB 2020-21.pdf
FY2020-21,Lakdhanvi Bangla Power Ltd.,ipp,159349441.0,68975144.0,2229819012.0,1435248603.0,13.9933,,BPDB 2020-21.pdf
FY2020-21,ECPV Power Ltd.,ipp,190254480.0,177963288.0,2569220856.0,2602765227.0,13.5041,,BPDB 2020-21.pdf
FY2020-21,Sinha People Energy Ltd.,ipp,21026448.0,87773136.0,812740081.0,1327329508.0,38.6532,,BPDB 2020-21.pdf
FY2020-21,Aggreko Energy Solution Ltd - Bhola (95MW) - -,ipp,0.0,0.0,0.0,0.0,,,BPDB 2020-21.pdf
FY2020-21,ACE Alliance Power Ltd. (149MW) (Summit Gazipur),ipp,791750046.0,404137440.0,8370704611.0,4095794531.0,10.5724,,BPDB 2020-21.pdf
FY2020-21,United Ashugang Energy Ltd.,ipp,145638508.0,342066540.0,3206663461.0,3482085887.0,22.018,,BPDB 2020-21.pdf
FY2020-21,Summit Bibiyana II Power Company Ltd.,ipp,2455887148.0,2533405256.0,6030061928.0,6195036994.0,2.4553,,BPDB 2020-21.pdf
FY2020-21,Summit Barishal Power Ltd.,ipp,218608608.0,191397120.0,3167467899.0,2791433109.0,14.4892,,BPDB 2020-21.pdf
FY2020-21,Summit Narayangonj Power Unit II Ltd.,ipp,259501715.0,96817909.0,2969690929.0,1397885741.0,11.4438,,BPDB 2020-21.pdf
FY2020-21,Doreen Southern Power Limited,ipp,237896381.0,110210738.0,2684321524.0,1587720218.0,11.2836,,BPDB 2020-21.pdf
FY2020-21,Doreen Northern Power Limited,ipp,231844112.0,151070207.0,2641124870.0,1867971877.0,11.3918,,BPDB 2020-21.pdf
FY2020-21,Power Pac Motiara - Jamalpur,ipp,289737408.0,339610944.0,3268082838.0,4114629696.0,11.2795,,BPDB 2020-21.pdf
FY2020-21,Shahjanullah Power Generation Co. Ltd.,ipp,102686146.0,133358044.0,354266198.0,460363566.0,3.45,,BPDB 2020-21.pdf
FY2020-21,Engreen Solar,ipp,3944220.0,3860015.0,63523756.0,62075299.0,16.1055,,BPDB 2020-21.pdf
FY2020-21,Kushiara Power Company Ltd.,ipp,1065571452.0,1148090686.0,3184203020.0,3328431877.0,2.9883,,BPDB 2020-21.pdf
FY2020-21,M/S Banco Energy Generation Ltd.,ipp,309349044.0,209990340.0,3548402788.0,2517495961.0,11.4705,,BPDB 2020-21.pdf
FY2020-21,Bangla Track Power Company Ltd. (Unit-2),ipp,122851008.0,78702240.0,3855255637.0,3093031604.0,31.3816,,BPDB 2020-21.pdf
FY2020-21,Aggreko Energy Solution Ltd. - Aorahati (100MW),ipp,37076045.0,6040888.0,2377751737.0,1881430202.0,64.1318,,BPDB 2020-21.pdf
FY2020-21,Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),ipp,28478637.0,4676090.0,2164581074.0,1844846730.0,76.0072,,BPDB 2020-21.pdf
FY2020-21,United Mymensingh Power Ltd. (200MW),ipp,1019821200.0,507801840.0,11669327634.0,6075281810.0,11.4425,,BPDB 2020-21.pdf
FY2020-21,Technaf Solartech Energy Ltd. (20MW),ipp,33438191.0,36027726.0,394598682.0,423055479.0,11.8008,,BPDB 2020-21.pdf
FY2020-21,Acron Infracture Service Ltd. (Unit-3),ipp,610561267.0,329174995.0,6065069101.0,3710075142.0,9.9336,,BPDB 2020-21.pdf
FY2020-21,Sembcorp NWPC Ltd. - Sirajgonj (282MW),ipp,2945236563.0,3047637942.0,9029761730.0,9193002080.0,3.0659,,BPDB 2020-21.pdf
FY2020-21,Paramount BTrac Energy Ltd. - Sirajgonj,ipp,21514556.0,3756087.0,3887016999.0,3546541105.0,180.6692,,BPDB 2020-21.pdf
FY2020-21,Orion Power Rupsha Ltd. - Khulna (105MW),ipp,361167408.0,186785520.0,4586519321.0,3018423032.0,12.6992,,BPDB 2020-21.pdf
FY2020-21,Desh Energy Chandpur Power Company Ltd.,ipp,535499933.0,352369138.0,7266737367.0,5811857467.0,13.57,,BPDB 2020-21.pdf
FY2020-21,Midland East Power Company Ltd.,ipp,410347432.0,196073411.0,5106156835.0,3988343214.0,12.4435,,BPDB 2020-21.pdf
FY2020-21,Baraka Shikalbaha Power Ltd. (105MW),ipp,159651421.0,99169409.0,2774600010.0,2184396966.0,17.3791,,BPDB 2020-21.pdf
FY2020-21,Confidence Power Ltd. - Rangpur,ipp,494399990.0,283390147.0,5671576724.0,3615280274.0,11.4716,,BPDB 2020-21.pdf
FY2020-21,Confidence Power Ltd. (Unit-1),ipp,468193056.0,199459584.0,5469183763.0,2189153968.0,11.6815,,BPDB 2020-21.pdf
FY2020-21,Confidence Power Ltd. (Unit-2) - Bogra,ipp,447810720.0,223190976.0,5606954875.0,3596109041.0,12.5208,,BPDB 2020-21.pdf
FY2020-21,United Jamalpur 200MW,ipp,538471740.0,435503268.0,6669811635.0,5345969591.0,12.3866,,BPDB 2020-21.pdf
FY2020-21,Sympa Solar Power Limited,ipp,11268182.0,11029586.0,124366922.0,121571385.0,11.037,,BPDB 2020-21.pdf
FY2020-21,RPCL - Gazipur (105MW),ipp,372311616.0,287819928.0,4561729240.0,4018991023.0,12.2524,,BPDB 2020-21.pdf
FY2020-21,United - Anawara (300MW),ipp,1195998078.0,810582644.0,13588011751.0,10113893939.0,11.3612,,BPDB 2020-21.pdf
FY2020-21,Zodiac Power Ctg. Ltd.,ipp,276762524.0,36177063.0,3085394329.0,922527587.0,11.1482,,BPDB 2020-21.pdf
FY2020-21,Karnaphuli Power Ltd.,ipp,85058900.0,40597792.0,2177111311.0,1563611789.0,25.5953,,BPDB 2020-21.pdf
FY2020-21,Lanka Power Limited - Feni,ipp,193243406.0,34679849.0,2993516085.0,1082818157.0,15.4909,,BPDB 2020-21.pdf
FY2020-21,HF Power Company Limited,ipp,551060311.0,115725246.0,5951666116.0,1559483281.0,10.8004,,BPDB 2020-21.pdf
FY2020-21,Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,ipp,3811921991.0,831938472.0,32764848584.0,5215734878.0,8.5954,,BPDB 2020-21.pdf
FY2020-21,Acron Infrastructure Services Ltd. Unit-2,ipp,687711168.0,186554976.0,7359103192.0,1003595519.0,10.7009,,BPDB 2020-21.pdf
FY2020-21,Orion Power Sonargaon Ltd.,ipp,451901664.0,10829376.0,5095211408.0,94757040.0,11.275,,BPDB 2020-21.pdf
FY2020-21,Summit Gazipur II Power Ltd. - Kodda (300MW),ipp,1280252848.0,365298295.0,13968072079.0,5888119002.0,10.9104,,BPDB 2020-21.pdf
FY2020-21,APSCL (Except New 573 MW),public,711938656.0,871733180.0,3725662841.0,3992507875.0,5.2331,,BPDB 2020-21.pdf
FY2020-21,APSCL (New 50 MW),public,184795542.0,244146276.0,439275908.0,533228573.0,2.3771,,BPDB 2020-21.pdf
FY2020-21,APSCL (225 MW),public,1574330675.0,1480504353.0,5139666301.0,5104811743.0,3.2647,,BPDB 2020-21.pdf
FY2020-21,APSCL (450 MW) South,public,1955572989.0,2350523007.0,7571323434.0,8671643247.0,3.8717,,BPDB 2020-21.pdf
FY2020-21,APSCL (450 MW) North,public,2088923729.0,2458470544.0,5900126978.0,6666202866.0,2.8245,,BPDB 2020-21.pdf
FY2020-21,"SBU HARIPUR - 247,733,903",public,0.0,0.0,278186638.0,0.0,,Y,BPDB 2020-21.pdf
FY2020-21,EGCB Ltd. (210X2) MW,public,563946120.0,278915352.0,2694566404.0,2263261009.0,4.7781,,BPDB 2020-21.pdf
FY2020-21,EGCB Ltd. (412) MW,public,1803485796.0,2783382126.0,5421654625.0,6122051191.0,3.0062,,BPDB 2020-21.pdf
FY2020-21,EGCB Ltd. (360) MW,public,1039616357.0,926684819.0,3656399175.0,3260352289.0,3.5171,,BPDB 2020-21.pdf
FY2020-21,Sirajgonj (Unit - 2),public,1135656573.0,659693652.0,4351973695.0,4066747219.0,3.8321,,BPDB 2020-21.pdf
FY2020-21,Sirajgonj (Unit - 3),public,1447005461.0,1246030415.0,4890841676.0,4356240963.0,3.38,,BPDB 2020-21.pdf
FY2020-21,Khulna,public,279080308.0,6755128.0,7770389923.0,3602950417.0,27.8428,,BPDB 2020-21.pdf
FY2020-21,BPDB RPCL PowerGen Ltd.,public,387788703.0,175337452.0,5857190239.0,4032187505.0,15.1041,,BPDB 2020-21.pdf
FY2020-21,Total Public Co. (Code No. 616),public,16106312544.0,17265860037.0,69170328105.0,66716719282.0,4.2946,,BPDB 2020-21.pdf
FY2020-21,NVVN Ltd. - India 250 MW,india,1753307564.0,1720991506.0,5479226567.0,5519165342.0,3.1251,,BPDB 2020-21.pdf
FY2020-21,NVVN Ltd. - India 160 MW (Tripura),india,1028817960.0,1005185656.0,7420242117.0,7633343637.0,7.2124,,BPDB 2020-21.pdf
FY2020-21,"Power Grid Corporation of India - 250MW - 993,616,464",india,0.0,0.0,714415237.0,0.0,,Y,BPDB 2020-21.pdf
FY2020-21,"Power Grid Corporation of India - 160MW - 179,663,490",india,0.0,0.0,183742973.0,0.0,,Y,BPDB 2020-21.pdf
FY2020-21,NVVN Ltd. - India 300 MW,india,2539050000.0,1700740025.0,14200174815.0,10912458117.0,5.5927,,BPDB 2020-21.pdf
FY2020-21,"PTC India Ltd. 200 MW 1,023,539,479 6,950,960,102",india,0.0,902021075.0,6199398155.0,0.0,,Y,BPDB 2020-21.pdf
FY2020-21,Sembcrop Energy India Ltd. 250MW,india,1784173570.0,1360269293.0,11905260924.0,9008773219.0,6.6727,,BPDB 2020-21.pdf
FY2020-21,Total Import,india,8128888573.0,6689207555.0,47129144480.0,40171296679.0,5.7977,,BPDB 2020-21.pdf
FY2020-21,BARKATULLAH ELECTRO DYNAMICS LTD.,rental,353071710.0,284768958.0,1101899564.0,952112505.0,3.1209,,BPDB 2020-21.pdf
FY2020-21,SHAHJIBAZAR POWER CO. LTD.,rental,605484672.0,440516616.0,2039822897.0,1792127676.0,3.3689,,BPDB 2020-21.pdf
FY2020-21,"DESH CAMBRIDGE, KUMERGOAN",rental,61412951.0,64287123.0,235977144.0,236886291.0,3.8425,,BPDB 2020-21.pdf
FY2020-21,"ENERGYPRIMA, FENCHUGONJ",rental,208743147.0,307712992.0,681674489.0,1112358546.0,3.2656,,BPDB 2020-21.pdf
FY2020-21,"ENERGYPRIMA, BOGRA",rental,27878796.0,78662952.0,96666127.0,283738154.0,3.4674,,BPDB 2020-21.pdf
FY2020-21,"VENTURE ENERGY, BHOLA",rental,199537974.0,172416822.0,796370803.0,684018417.0,3.9911,,BPDB 2020-21.pdf
FY2020-21,SUMMIT NARAYANGONJ POWER LTD.,rental,353336328.0,223216584.0,3436136533.0,2658477107.0,9.7248,,BPDB 2020-21.pdf
FY2020-21,MAX POWER LTD.-GHORASAL,rental,102449279.0,151850141.0,811772815.0,1561450593.0,7.9237,,BPDB 2020-21.pdf
FY2020-21,KPCL -UNIT-2,rental,433646409.0,280086325.0,4998784772.0,3907312120.0,11.5273,,BPDB 2020-21.pdf
FY2020-21,KHANJAHAN ALI POWER LTD.,rental,92282785.0,91546622.0,1363243262.0,1466836454.0,14.7725,,BPDB 2020-21.pdf
FY2020-21,IELCONSOURTIUM & ASSOCIATES,rental,270990720.0,193301761.0,3813956693.0,2815677934.0,14.0741,,BPDB 2020-21.pdf
FY2020-21,PRECISION ENERGY LTD.,rental,208806744.0,218732592.0,1091909673.0,1106804428.0,5.2293,,BPDB 2020-21.pdf
FY2020-21,DUTCH BANGLA POWER & ASSOCIATES LTD.,rental,366362581.0,188221250.0,4588701719.0,2785839895.0,12.525,,BPDB 2020-21.pdf
FY2020-21,ACRON INFRASTRUCTURE SERVICE LTD.,rental,189942210.0,90292560.0,3132864948.0,2246199780.0,16.4938,,BPDB 2020-21.pdf
FY2020-21,POWER PAC MUTIARA KERANIGONJ,rental,217866024.0,52371672.0,1792998493.0,1923586409.0,8.2298,,BPDB 2020-21.pdf
FY2020-21,NORTHERN POWER,rental,21344414.0,69379654.0,224115126.0,1351484542.0,10.4999,,BPDB 2020-21.pdf
FY2020-21,AGGREKO INTERNATIONAL LTD.-BHOLA (95 MW),rental,559103805.0,445528501.0,2310334606.0,2207102989.0,4.1322,,BPDB 2020-21.pdf
FY2020-21,"GBB POWER LTD. 167,490,216 656,939,574",rental,0.0,133166952.0,579797403.0,0.0,,Y,BPDB 2020-21.pdf
FY2020-21,"13 Tongi Power Station 105.00 0% (200,350) - - 3,357,916 -",rental,228681818.0,0.0,232039734.0,0.0,1.0147,,BPDB 2020-21.pdf
FY2020-21,"14 Siddirgonj Power Station 115.00 0% (1,287,000) - - 101,068,157 -",rental,727660368.0,0.0,828728526.0,0.0,1.1389,,BPDB 2020-21.pdf
FY2020-21,"Sbu Haripur (BPDB Book Costs) 20.00 0% (422,461) - - - -",rental,90047286.0,0.0,90047286.0,0.0,1.0,,BPDB 2020-21.pdf
FY2020-21,"24 Khulna Power Station 170.00 0% - - - 6,974,916 -",rental,341453242.0,0.0,348428157.0,0.0,1.0204,,BPDB 2020-21.pdf
FY2020-21,"27 Hathazari Peacking Power Plant 98.00 0% (856,680) 68,955,110 - 111,838,566 -",rental,176238639.0,0.0,357032315.0,0.0,2.0258,,BPDB 2020-21.pdf
FY2020-21,"35 Bheramara Power Station - - (153,245) 33,693 - 3,090,483 -",rental,212175243.0,0.0,215299420.0,0.0,1.0147,,BPDB 2020-21.pdf
FY2020-21,"36 Barishal Gas Turbine Power Station - - (230,555) - - 15,382,270 -",rental,89741304.0,0.0,105123574.0,0.0,1.1714,,BPDB 2020-21.pdf
FY2020-21,"37 Bhola Diesel Power Station (Closed) - - - - - 1,955 -",rental,30156042.0,0.0,30157997.0,0.0,1.0001,,BPDB 2020-21.pdf
FY2020-21,"40 Kutubdia Diesel Generator 1.50 0% - 11,826,541 - 3,027,769 -",rental,137229521.0,0.0,152083831.0,0.0,1.1082,,BPDB 2020-21.pdf
FY2020-21,41 Sandip Diesel Generator 2.64 0% - - - - -,rental,236079639.0,0.0,236079639.0,0.0,1.0,,BPDB 2020-21.pdf
FY2020-21,"43 Dgd, Dhaka - - - 522,305 - 70,757,188 -",rental,47222384.0,0.0,118501877.0,0.0,2.5094,,BPDB 2020-21.pdf
