fy,plant_name,sector,zone,fuel,fuel_raw,capacity_mw,generation_gwh,plant_factor,remark,retired,source_doc
FY2023-24,Ghorasal Repowered CCPP Unit-4,PUBLIC,DHAKA ZONE,gas,Gas,210.0,773.0,0.4202,,,BPDC 2023-24.pdf
FY2023-24,Ghorasal 365 MW CCPP Unit-7,PUBLIC,DHAKA ZONE,gas,Gas,365.0,-3.0,,Under Maintenance,,BPDC 2023-24.pdf
FY2023-24,Tongi 80 MW GTPP,PUBLIC,DHAKA ZONE,gas,Gas,105.0,0.48,0.0005,,,BPDC 2023-24.pdf
FY2023-24,Haripur GTPP,PUBLIC,DHAKA ZONE,gas,Gas,32.0,-0.23,,Under Maintenance,,BPDC 2023-24.pdf
FY2023-24,210 MW Shiddirganj TPP,PUBLIC,DHAKA ZONE,gas,Gas,210.0,-0.6,,Under Overhauling,,BPDC 2023-24.pdf
FY2023-24,Siddhirganj 2x120 MW GTPP,PUBLIC,DHAKA ZONE,gas,Gas,210.0,322.0,0.175,,,BPDC 2023-24.pdf
FY2023-24,Haripur 412 MW CCPP,PUBLIC,DHAKA ZONE,gas,Gas,412.0,3129.0,0.867,,,BPDC 2023-24.pdf
FY2023-24,Siddhirganj 335 MW CCPP,PUBLIC,DHAKA ZONE,gas,Gas,335.0,2053.0,0.6996,,,BPDC 2023-24.pdf
FY2023-24,Gazipur 52 MW PP,PUBLIC,DHAKA ZONE,hfo,F.oil,52.0,74.0,0.1625,,,BPDC 2023-24.pdf
FY2023-24,Gazipur 100 MW PP,PUBLIC,DHAKA ZONE,hfo,F.oil,105.0,267.0,0.2903,,,BPDC 2023-24.pdf
FY2023-24,Kodda 150 MW PP,PUBLIC,DHAKA ZONE,hfo,F.oil,149.0,364.0,0.2789,,,BPDC 2023-24.pdf
FY2023-24,Karnafuli Hydro,PUBLIC,CHATTOGRAM ZONE,hydro,Hydro,230.0,825.0,0.4095,,,BPDC 2023-24.pdf
FY2023-24,Shikalbaha 150 MW Peaking PP,PUBLIC,CHATTOGRAM ZONE,gas,Gas,150.0,-2.0,,Under Maintenance,,BPDC 2023-24.pdf
FY2023-24,Hathazari 100 MW Peaking PP,PUBLIC,CHATTOGRAM ZONE,hfo,F.oil,98.0,261.0,0.304,,,BPDC 2023-24.pdf
FY2023-24,"Sangu, Dohazari-Kaliaish 100 MW PPP",PUBLIC,CHATTOGRAM ZONE,hfo,F.oil,102.0,197.0,0.2205,,,BPDC 2023-24.pdf
FY2023-24,RPCL Raozan 25 MW,PUBLIC,CHATTOGRAM ZONE,hfo,F.oil,25.0,58.0,0.2648,,,BPDC 2023-24.pdf
FY2023-24,Matarbari 2x600 MW U-1 PS,PUBLIC,CHATTOGRAM ZONE,coal_imported,Imported Coal,575.0,2836.0,0.563,,,BPDC 2023-24.pdf
FY2023-24,Kaptai Solar,PUBLIC,CHATTOGRAM ZONE,solar,Solar,7.0,9.0,0.1468,,,BPDC 2023-24.pdf
FY2023-24,Ashuganj TPP Unit-5,PUBLIC,CUMILLA ZONE,gas,Gas,0.0,-4.0,,Contract Expired,,BPDC 2023-24.pdf
FY2023-24,Ashuganj 50 MW PP,PUBLIC,CUMILLA ZONE,gas,Gas,53.0,234.0,0.504,,,BPDC 2023-24.pdf
FY2023-24,Ashuganj 225 MW CCPP,PUBLIC,CUMILLA ZONE,gas,Gas,221.0,1332.0,0.688,,,BPDC 2023-24.pdf
FY2023-24,Ashuganj 450 MW CCPP (South),PUBLIC,CUMILLA ZONE,gas,Gas,360.0,1952.0,0.619,,,BPDC 2023-24.pdf
FY2023-24,Ashuganj 450 MW CCPP (North),PUBLIC,CUMILLA ZONE,gas,Gas,360.0,2051.0,0.6504,,,BPDC 2023-24.pdf
FY2023-24,Ashuganj 450 MW CCPP (East),PUBLIC,CUMILLA ZONE,gas,Gas,400.0,2003.0,0.5716,,,BPDC 2023-24.pdf
FY2023-24,Chandpur 150 MW CCPP,PUBLIC,CUMILLA ZONE,gas,Gas,163.0,73.0,0.0511,,,BPDC 2023-24.pdf
FY2023-24,Titas 50 MW Peaking PP,PUBLIC,CUMILLA ZONE,hfo,F.oil,52.0,136.0,0.2986,,,BPDC 2023-24.pdf
FY2023-24,Sonagazi 75 MW Solar Power Plant,PUBLIC,CUMILLA ZONE,solar,Solar,75.0,49.0,0.0746,,,BPDC 2023-24.pdf
FY2023-24,"Shahjibazar 70 MW GT, Habiganj",PUBLIC,SYLHET ZONE,gas,Gas,70.0,393.0,0.6409,,,BPDC 2023-24.pdf
FY2023-24,Shahjibazar 330 MW CCPP,PUBLIC,SYLHET ZONE,gas,Gas,330.0,-1.0,,Under Maintenance,,BPDC 2023-24.pdf
FY2023-24,Fenchuganj C.C. (Unit #1),PUBLIC,SYLHET ZONE,gas,Gas,97.0,310.0,0.3648,,,BPDC 2023-24.pdf
FY2023-24,Fenchuganj C.C. (Unit #2),PUBLIC,SYLHET ZONE,gas,Gas,104.0,228.0,0.2503,,,BPDC 2023-24.pdf
FY2023-24,Sylhet 1x20 MW /GT,PUBLIC,SYLHET ZONE,gas,Gas,20.0,91.0,0.5194,,,BPDC 2023-24.pdf
FY2023-24,Sylhet 225 MW CCPP,PUBLIC,SYLHET ZONE,gas,Gas,231.0,1309.0,0.6469,,,BPDC 2023-24.pdf
FY2023-24,Bibiana III 400 MW CCPP,PUBLIC,SYLHET ZONE,gas,Gas,400.0,2720.0,0.7763,,,BPDC 2023-24.pdf
FY2023-24,Shahazibazar 100 MW GT,PUBLIC,SYLHET ZONE,gas,Gas,100.0,45.0,0.0514,,,BPDC 2023-24.pdf
FY2023-24,Bibiyana - South 383 MW CCPP,PUBLIC,SYLHET ZONE,gas,Gas,383.0,2427.0,0.7234,,,BPDC 2023-24.pdf
FY2023-24,Bheramara 3x20 MW /GT,PUBLIC,KHULNA ZONE,hsd,HSD,20.0,-0.04,,System Stability,,BPDC 2023-24.pdf
FY2023-24,Khulna 330,PUBLIC,KHULNA ZONE,hsd,HSD,336.0,175.0,0.0595,,,BPDC 2023-24.pdf
FY2023-24,Faridpur 50 MW Peaking PP,PUBLIC,KHULNA ZONE,hfo,F.oil,54.0,53.0,0.112,,,BPDC 2023-24.pdf
FY2023-24,Gopalganj 100 MW Peaking PP,PUBLIC,KHULNA ZONE,hfo,F.oil,109.0,78.0,0.0817,,,BPDC 2023-24.pdf
FY2023-24,Bheramara 360 MW CCPP (NWPGCL),PUBLIC,KHULNA ZONE,gas,Gas,410.0,744.0,0.2072,,,BPDC 2023-24.pdf
FY2023-24,Modhumoti 105 MW NWPGCL,PUBLIC,KHULNA ZONE,hfo,F.oil,105.0,78.0,0.0848,,,BPDC 2023-24.pdf
FY2023-24,Bhola 225 MW CCPP,PUBLIC,BARISHAL ZONE,gas,Gas,194.0,858.0,0.5049,,,BPDC 2023-24.pdf
FY2023-24,Barisal 1 MW Solar PP,PUBLIC,BARISHAL ZONE,solar,Solar,1.0,0.37,0.0422,,,BPDC 2023-24.pdf
FY2023-24,Baghabari 71 MW /GT,PUBLIC,RAJSHAHI ZONE,gas,Gas,71.0,30.0,0.0482,,,BPDC 2023-24.pdf
FY2023-24,Baghabari 100 MW /GT,PUBLIC,RAJSHAHI ZONE,gas,Gas,100.0,-0.39,,Under Maintenance,,BPDC 2023-24.pdf
FY2023-24,Baghabari 50 MW Peaking RE,PUBLIC,RAJSHAHI ZONE,hfo,F.oil,52.0,68.0,0.1493,,,BPDC 2023-24.pdf
FY2023-24,Bera 70 MW Peaking RE,PUBLIC,RAJSHAHI ZONE,hfo,F.oil,71.0,20.0,0.0322,,,BPDC 2023-24.pdf
FY2023-24,Santahar 50 MW PP,PUBLIC,RAJSHAHI ZONE,hfo,F.oil,50.0,66.0,0.1507,,,BPDC 2023-24.pdf
FY2023-24,Katakhali 50 MW PP,PUBLIC,RAJSHAHI ZONE,hfo,F.oil,50.0,75.0,0.1712,,,BPDC 2023-24.pdf
FY2023-24,"Chapainobabgonj Peaking Power Station 100 MW, Amnura",PUBLIC,RAJSHAHI ZONE,hfo,F.oil,104.0,180.0,0.1976,,,BPDC 2023-24.pdf
FY2023-24,Sirajgonj 7.6 MW Solar Power Plant,PUBLIC,RAJSHAHI ZONE,solar,Solar,6.0,9.0,0.1712,,,BPDC 2023-24.pdf
FY2023-24,Saidpur 20 MW /GT,PUBLIC,RANGPUR ZONE,hsd,HSD,20.0,-0.04,,,,BPDC 2023-24.pdf
FY2023-24,Rangpur 20 MW /GT,PUBLIC,RANGPUR ZONE,hsd,HSD,20.0,0.33,0.0019,,,BPDC 2023-24.pdf
FY2023-24,BCPCL,JOINT VENTURE,RANGPUR ZONE,coal_imported,Imported Coal,1244.0,7549.0,0.6927,,,BPDC 2023-24.pdf
FY2023-24,BIFPCL,JOINT VENTURE,RANGPUR ZONE,coal_imported,Imported Coal,1234.0,3132.0,0.2897,,,BPDC 2023-24.pdf
FY2023-24,Midland Power Co. Ashuganj 51 MW,IPP,RANGPUR ZONE,gas,GAS,51.0,337.0,0.7543,,,BPDC 2023-24.pdf
FY2023-24,Rural Power Company Ltd.(RPCL),IPP,RANGPUR ZONE,gas,GAS,210.0,590.0,0.3207,,,BPDC 2023-24.pdf
FY2023-24,Haripur Power Ltd.,IPP,RANGPUR ZONE,gas,GAS,360.0,1082.0,0.3431,,,BPDC 2023-24.pdf
FY2023-24,Meghnaghat Power Ltd.,IPP,RANGPUR ZONE,gas,GAS,450.0,3008.0,0.7631,,,BPDC 2023-24.pdf
FY2023-24,Regent Energy & Power Ltd 108 MW,IPP,RANGPUR ZONE,gas,GAS,108.0,221.0,0.2336,,,BPDC 2023-24.pdf
FY2023-24,Ashuganj United Power Co. Ltd. 200 MW,IPP,RANGPUR ZONE,gas,GAS,195.0,231.0,0.1352,,,BPDC 2023-24.pdf
FY2023-24,Summit Bibiyana - II Power Co. Ltd. 341 MW,IPP,RANGPUR ZONE,gas,GAS,341.0,2430.0,0.8135,,,BPDC 2023-24.pdf
FY2023-24,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,IPP,RANGPUR ZONE,gas,GAS,163.0,899.0,0.6296,,,BPDC 2023-24.pdf
